"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Na_11_421061","OG0004626","Na","Gmax_Wm82.a2.v1",11,421061,221061,639562,"Glyma.11G007100",502997,506856,"PTHR23257//PTHR23257:SF429 - SERINE-THREONINE PROTEIN KINASE // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.236296296296296,0.610962962962963,0.610962962962963
"Gmax_Wm82.a2.v1_Na_13_16092261","OG0000040","Na","Gmax_Wm82.a2.v1",13,16092261,15892261,16498245,"Glyma.13G065400",16468213,16475472,"PTHR24093:SF264 - ATPASE 4, PLASMA MEMBRANE-TYPE (1 of 6)",4,1,0,0.236296296296296,0.610962962962963,0.610962962962963
"Gmax_Wm82.a2.v1_Na_13_45335445","OG0000040","Na","Gmax_Wm82.a2.v1",13,45335445,45135445,45535445,"Glyma.13G369300",45471256,45475788,"PTHR24093:SF355 - ATPASE 1, PLASMA MEMBRANE-TYPE-RELATED (1 of 5)",4,1,0,0.236296296296296,0.610962962962963,0.610962962962963
"Gmax_Wm82.a2.v1_Na_15_13666730","OG0000040","Na","Gmax_Wm82.a2.v1",15,13666730,13466730,14151416,"Glyma.15G162600",13923374,13932194,"K01535 - H+-transporting ATPase (E3.6.3.6)  (1 of 24)",4,1,0,0.236296296296296,0.610962962962963,0.610962962962963
"Gmax_Wm82.a2.v1_Na_1_20892406","OG0000426","Na","Gmax_Wm82.a2.v1",1,20892406,20692406,21092406,"Glyma.01G079500",20974302,20977697,"PTHR31636:SF11 - SCARECROW-LIKE PROTEIN 22-RELATED (1 of 4)",4,1,0,0.236296296296296,0.610962962962963,0.610962962962963
"Gmax_Wm82.a2.v1_Na_1_51151358","OG0000263","Na","Gmax_Wm82.a2.v1",1,51151358,50951358,51865711,"Glyma.01G175000",51157055,51161521,"PTHR27001:SF192 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK4 (1 of 4)",4,1,0,0.236296296296296,0.610962962962963,0.610962962962963
"Gmax_Wm82.a2.v1_Na_4_6089923","OG0000040","Na","Gmax_Wm82.a2.v1",4,6089923,5889923,6289923,"Glyma.04G075100",6285850,6293073,"",4,1,0,0.236296296296296,0.610962962962963,0.610962962962963
"Sbicolor_v3.1.1_Na_1_58611246","OG0001054","Na","Sbicolor_v3.1.1",1,58611246,58511246,58711246,"Sobic.001G303000",58634784,58637175,"",4,1,0,0.274285714285714,0.580571428571429,0.580571428571429
"Sbicolor_v3.1.1_Na_1_72205632","OG0000263","Na","Sbicolor_v3.1.1",1,72205632,72105632,72305632,"Sobic.001G445400",72208093,72211249,"similar to Putative uncharacterized protein OSJNBa0071K19.13",4,1,0,0.274285714285714,0.580571428571429,0.580571428571429
"Athaliana_TAIR10_Na_4_12149981","OG0000391","Na","Athaliana_TAIR10",4,12149981,12074981,12224981,"AT4G23400",12220743,12222371,"plasma membrane intrinsic protein 1;5",4,1,0,0.303733333333333,0.557013333333333,0.557013333333333
