"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Mo_13_45072278","OG0001896","Mo","Gmax_Wm82.a2.v1",13,45072278,44872278,45272278,"Glyma.13G362300",44892928,44896710,"K03301 - ATP:ADP antiporter, AAA family (TC.AAA)  (1 of 5)",5,4,0.75,0.2548,0.1863,0.63342
"Gmax_Wm82.a2.v1_Mo_15_830576","OG0001896","Mo","Gmax_Wm82.a2.v1",15,830576,630576,1030576,"Glyma.15G011500",892118,895716,"K03301 - ATP:ADP antiporter, AAA family (TC.AAA)  (1 of 5)",5,5,0.8,0.2548,0.14904,0.625968
"Gmax_Wm82.a2.v1_Mo_7_2612472","OG0001896","Mo","Gmax_Wm82.a2.v1",7,2612472,2412472,2824087,"Glyma.07G033100",2597537,2602263,"K03301 - ATP:ADP antiporter, AAA family (TC.AAA)  (1 of 5)",5,5,0.8,0.2548,0.14904,0.625968
"Gmax_Wm82.a2.v1_Mo_8_16765577","OG0013371","Mo","Gmax_Wm82.a2.v1",8,16765577,16565577,16974275,"Glyma.08G208700",16907940,16910176,"PTHR31970:SF0 - MOLYBDATE TRANSPORTER 2 (1 of 1)",5,8,0.875,0.2548,0.09315,0.61479
"Gmax_Wm82.a2.v1_Mo_8_16765577","OG0001896","Mo","Gmax_Wm82.a2.v1",8,16765577,16565577,16974275,"Glyma.08G209100",16925882,16929953,"K03301 - ATP:ADP antiporter, AAA family (TC.AAA)  (1 of 5)",5,8,0.875,0.2548,0.09315,0.61479
"Athaliana_TAIR10_Mo_1_5361528","OG0001896","Mo","Athaliana_TAIR10",1,5361528,5286528,5521023,"AT1G15500",5326290,5328874,"TLC ATP/ADP transporter",5,12,0.916666666666667,0.266,0.0611666666666667,0.599433333333333
"Athaliana_TAIR10_Mo_1_30019430","OG0013371","Mo","Athaliana_TAIR10",1,30019430,29944430,30432848,"AT1G80310",30194618,30196554,"sulfate transmembrane transporters",5,23,0.956521739130435,0.266,0.0319130434782608,0.593582608695652
"Athaliana_TAIR10_Mo_1_30019430","OG0001896","Mo","Athaliana_TAIR10",1,30019430,29944430,30432848,"AT1G80300",30191856,30194519,"nucleotide transporter 1",5,23,0.956521739130435,0.266,0.0319130434782608,0.593582608695652
"Zmays_RefGen_V4_Mo_3_218194487","OG0013371","Mo","Zmays_RefGen_V4",3,218194487,218094487,218451997,"Zm00001d044068",218269726,218271105,"(1 of 1) PTHR31970:SF0 - MOLYBDATE TRANSPORTER 2",5,6,0.833333333333333,0.298,0.117,0.585
"Zmays_RefGen_V4_Mo_3_218194487","OG0001896","Mo","Zmays_RefGen_V4",3,218194487,218094487,218451997,"Zm00001d044060",218232750,218238498,"(1 of 4) K03301 - ATP:ADP antiporter, AAA family (TC.AAA)",5,6,0.833333333333333,0.298,0.117,0.585
"Sbicolor_v3.1.1_Mo_3_57501122","OG0013371","Mo","Sbicolor_v3.1.1",3,57501122,57401122,57714567,"Sobic.003G237000",57612637,57615634,"similar to Sulfate transporter protein-like",5,11,0.909090909090909,0.321,0.0617272727272728,0.555545454545455
"Sbicolor_v3.1.1_Mo_3_57501122","OG0001896","Mo","Sbicolor_v3.1.1",3,57501122,57401122,57714567,"Sobic.003G237400",57671841,57676529,"similar to Plastid ATP/ADP transporter",5,11,0.909090909090909,0.321,0.0617272727272728,0.555545454545455
"Osativa_v7.0_Mo_1_26251368","OG0013371","Mo","Osativa_v7.0",1,26251368,26008368,26494368,"LOC_Os01g45830",26033145,26034930,"sulfate transporter, putative, expressed",5,12,0.916666666666667,0.3565,0.053625,0.525525
"Osativa_v7.0_Mo_1_26251368","OG0001896","Mo","Osativa_v7.0",1,26251368,26008368,26494368,"LOC_Os01g45910",26078028,26082198,"plastidic ATP/ADP-transporter, putative, expressed",5,12,0.916666666666667,0.3565,0.053625,0.525525
"Gmax_Wm82.a2.v1_Mo_11_33593723","OG0000054","Mo","Gmax_Wm82.a2.v1",11,33593723,33393723,33795671,"Glyma.11G241800",33586053,33587570,"K11253 - histone H3 (H3)  (1 of 22)",4,1,0,0.351957894736842,0.518433684210526,0.518433684210526
"Gmax_Wm82.a2.v1_Mo_12_38711814","OG0000093","Mo","Gmax_Wm82.a2.v1",12,38711814,38511814,38913725,"Glyma.12G226600",38650006,38651354,"PF00847 - AP2 domain (AP2)  (1 of 354)",4,1,0,0.351957894736842,0.518433684210526,0.518433684210526
"Gmax_Wm82.a2.v1_Mo_5_34069665","OG0002389","Mo","Gmax_Wm82.a2.v1",5,34069665,33869665,34332184,"Glyma.05G148200",34242457,34245196,"PTHR12612 - NUCLEAR TRANSPORT FACTOR 2 (1 of 5)",4,1,0,0.351957894736842,0.518433684210526,0.518433684210526
"Gmax_Wm82.a2.v1_Mo_6_10260260","OG0000538","Mo","Gmax_Wm82.a2.v1",6,10260260,10060260,10460260,"Glyma.06G126400",10356650,10362151,"PTHR24078//PTHR24078:SF262 - DNAJ HOMOLOG SUBFAMILY C MEMBER // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.351957894736842,0.518433684210526,0.518433684210526
"Gmax_Wm82.a2.v1_Mo_8_4806741","OG0002306","Mo","Gmax_Wm82.a2.v1",8,4806741,4606741,5158147,"Glyma.08G062600",4817430,4821371,"PTHR14255:SF3 - SULFITE EXPORTER TAUE/SAFE FAMILY PROTEIN (1 of 3)",4,1,0,0.351957894736842,0.518433684210526,0.518433684210526
"Gmax_Wm82.a2.v1_Mo_9_28661902","OG0000105","Mo","Gmax_Wm82.a2.v1",9,28661902,28461902,28939753,"Glyma.09G119600",28626905,28630768,"PF00069//PF08263 - Protein kinase domain (Pkinase)  // Leucine rich repeat N-terminal domain (LRRNT_2)  (1 of 37)",4,1,0,0.351957894736842,0.518433684210526,0.518433684210526
"Sbicolor_v3.1.1_Mo_4_49256905","OG0000538","Mo","Sbicolor_v3.1.1",4,49256905,49156905,49356905,"Sobic.004G155600",49232785,49236916,"similar to Heat shock protein-like",4,1,0,0.378,0.4976,0.4976
"Sbicolor_v3.1.1_Mo_8_47762595","OG0002315","Mo","Sbicolor_v3.1.1",8,47762595,47662595,47862595,"Sobic.008G100700",47695374,47702005,"similar to Putative GRF-interacting factor 3",4,1,0,0.378,0.4976,0.4976
