"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Sbicolor_v3.1.1_K_10_54249764","OG0000133","K","Sbicolor_v3.1.1",10,54249764,54149764,54349764,"Sobic.010G199300",54241359,54245613,"KOG1552 - Predicted alpha/beta hydrolase (1 of 10)",4,1,0,0.300666666666667,0.559466666666667,0.559466666666667
"Gmax_Wm82.a2.v1_K_13_13686728","OG0000133","K","Gmax_Wm82.a2.v1",13,13686728,13486728,13926038,"Glyma.13G044600",13814004,13836913,"PTHR12277:SF83 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN (1 of 2)",4,1,0,0.33025,0.5358,0.5358
"Gmax_Wm82.a2.v1_K_13_14525702","OG0000133","K","Gmax_Wm82.a2.v1",13,14525702,14325702,14864072,"Glyma.13G051500",14789004,14793143,"KOG1552 - Predicted alpha/beta hydrolase (1 of 25)",4,1,0,0.33025,0.5358,0.5358
"Gmax_Wm82.a2.v1_K_15_9591733","OG0000995","K","Gmax_Wm82.a2.v1",15,9591733,9391733,10057324,"Glyma.15G126400",10013184,10015082,"PTHR10044//PTHR10044:SF121 - INHIBITOR OF APOPTOSIS // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.33025,0.5358,0.5358
"Gmax_Wm82.a2.v1_K_4_45899232","OG0000133","K","Gmax_Wm82.a2.v1",4,45899232,45699232,46407147,"Glyma.04G190500",46131920,46135591,"PTHR12277:SF42 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN-RELATED (1 of 9)",4,1,0,0.33025,0.5358,0.5358
"Gmax_Wm82.a2.v1_K_6_14017276","OG0000133","K","Gmax_Wm82.a2.v1",6,14017276,13817276,15814187,"Glyma.06G174900",14791804,14794854,"",4,1,0,0.33025,0.5358,0.5358
"Gmax_Wm82.a2.v1_K_9_1464929","OG0000995","K","Gmax_Wm82.a2.v1",9,1464929,1264929,1677581,"Glyma.09G019900",1562146,1563912,"PTHR10044//PTHR10044:SF121 - INHIBITOR OF APOPTOSIS // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.33025,0.5358,0.5358
"Sbicolor_v3.1.1_K_9_52962945","OG0000697","K","Sbicolor_v3.1.1",9,52962945,52862945,53062945,"Sobic.009G173800",52932232,52934600,"similar to Putative uncharacterized protein",4,2,0.5,0.300666666666667,0.279733333333333,0.50352
"Sbicolor_v3.1.1_K_5_65781934","OG0008894","K","Sbicolor_v3.1.1",5,65781934,65681934,65881934,"Sobic.005G175800",65756374,65757481,"weakly similar to EF hand family protein",4,3,0.666666666666667,0.300666666666667,0.186488888888889,0.484871111111111
"Gmax_Wm82.a2.v1_K_4_989803","OG0003481","K","Gmax_Wm82.a2.v1",4,989803,789803,1189803,"Glyma.04G013000",985134,990262,"PTHR32227:SF16 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE 7-RELATED (1 of 3)",4,2,0.5,0.33025,0.2679,0.48222
"Gmax_Wm82.a2.v1_K_6_789641","OG0003481","K","Gmax_Wm82.a2.v1",6,789641,589641,1442927,"Glyma.06G012900",961332,965588,"",4,2,0.5,0.33025,0.2679,0.48222
"Sbicolor_v3.1.1_K_1_78510453","OG0002948","K","Sbicolor_v3.1.1",1,78510453,78410453,78610453,"Sobic.001G518800",78494312,78496345,"similar to EST AU070346(S12172) corresponds to a region of the predicted gene",4,4,0.75,0.300666666666667,0.139866666666667,0.475546666666667
"Sbicolor_v3.1.1_K_1_11379323","OG0000995","K","Sbicolor_v3.1.1",1,11379323,11279323,11479323,"Sobic.001G141600",11376156,11378622,"similar to Putative uncharacterized protein",4,6,0.833333333333333,0.300666666666667,0.0932444444444444,0.466222222222222
"Sbicolor_v3.1.1_K_1_11379323","OG0003481","K","Sbicolor_v3.1.1",1,11379323,11279323,11479323,"Sobic.001G142200",11414034,11417063,"similar to Putative uncharacterized protein",4,6,0.833333333333333,0.300666666666667,0.0932444444444444,0.466222222222222
