"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Sr_10_37188800","OG0000313","Sr","Gmax_Wm82.a2.v1",10,37188800,36988800,37388800,"Glyma.10G137600",37137523,37143916,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_10_4911207","OG0000072","Sr","Gmax_Wm82.a2.v1",10,4911207,4711207,5435527,"Glyma.10G053800",4876657,4880178,"",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_11_10996359","OG0000072","Sr","Gmax_Wm82.a2.v1",11,10996359,10796359,11511777,"Glyma.11G145100",11144477,11150703,"PTHR31223:SF23 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG1 (1 of 4)",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_13_23063311","OG0001615","Sr","Gmax_Wm82.a2.v1",13,23063311,22863311,23529861,"Glyma.13G116100",22961118,22964374,"",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_13_42101529","OG0000072","Sr","Gmax_Wm82.a2.v1",13,42101529,41901529,42595355,"Glyma.13G324700",41978496,41983456,"PTHR31223:SF23 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG1 (1 of 4)",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_14_2762413","OG0000149","Sr","Gmax_Wm82.a2.v1",14,2762413,2562413,3913128,"Glyma.14G040600",3043239,3045398,"PTHR23050:SF153 - CALMODULIN-1-RELATED (1 of 6)",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_14_47539423","OG0000072","Sr","Gmax_Wm82.a2.v1",14,47539423,47339423,48547260,"Glyma.14G218100",48333380,48339146,"",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_17_3094261","OG0001615","Sr","Gmax_Wm82.a2.v1",17,3094261,2894261,3294261,"Glyma.17G043700",3239598,3242236,"PTHR33077:SF5 - PROTEIN TIFY 3A-RELATED (1 of 4)",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_17_37553627","OG0000072","Sr","Gmax_Wm82.a2.v1",17,37553627,37353627,38327081,"Glyma.17G227200",38184820,38193145,"PTHR31223:SF4 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG8-RELATED (1 of 4)",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
"Gmax_Wm82.a2.v1_Sr_18_13985367","OG0002247","Sr","Gmax_Wm82.a2.v1",18,13985367,13785367,16224812,"Glyma.18G123800",16046465,16050197,"PTHR27001:SF160 - PROTEIN KINASE 2A, CHLOROPLASTIC-RELATED (1 of 5)",3,1,0,0.728409090909091,0.162954545454545,0.162954545454545
