"Orthogroup","trait","org","Chromosome Name","bp","start","end","loci","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present"
"OG0006606","Mg","Athaliana_TAIR10",5,19979303,19904303,20054303,"Athaliana_TAIR10_Mg_5_19979303","AT5G49210",19949722,19951687,"",3
"OG0006606","Mg","Gmax_Wm82.a2.v1",18,57473940,57273940,57673940,"Gmax_Wm82.a2.v1_Mg_18_57473940","Glyma.18G297700",57499727,57502861,"",3
"OG0006606","Mg","Sbicolor_v3.1.1",1,15386539,15286539,15486539,"Sbicolor_v3.1.1_Mg_1_15386539","Sobic.001G180500",15303691,15304827,"3.4.21.72 - IgA-specific serine endopeptidase / Immunoglobulin A1 protease (1 of 8)",3
"OG0006606","Mo","Athaliana_TAIR10",5,19916445,19841445,20004214,"Athaliana_TAIR10_Mo_5_19916445","AT5G49210",19949722,19951687,"",3
"OG0006606","Mo","Gmax_Wm82.a2.v1",18,57620505,57420505,58168596,"Gmax_Wm82.a2.v1_Mo_18_57620505","Glyma.18G297700",57499727,57502861,"",3
"OG0006606","Mo","Osativa_v7.0",11,2005858,1762858,2248858,"Osativa_v7.0_Mo_11_2005858","LOC_Os11g05120",2245045,2247217,"expressed protein",3
"OG0004641","Na","Athaliana_TAIR10",1,590751,515751,785582,"Athaliana_TAIR10_Na_1_590751","AT1G02740",599416,602038,"MRG family protein",3
"OG0004641","Na","Gmax_Wm82.a2.v1",17,15258296,15058296,16848683,"Gmax_Wm82.a2.v1_Na_17_15258296","Glyma.17G166700",15230117,15236598,"",3
"OG0004641","Na","Osativa_v7.0",4,135741,1,538051,"Osativa_v7.0_Na_4_135741","LOC_Os04g01130",89024,97924,"chromatin modification-related protein EAF3, putative, expressed",3
"OG0001043","K","Athaliana_TAIR10",4,404516,329516,551213,"Athaliana_TAIR10_K_4_404516","AT4G01070",461592,463556,"UDP-Glycosyltransferase superfamily protein",3
"OG0001043","K","Gmax_Wm82.a2.v1",3,45118406,44918406,45428377,"Gmax_Wm82.a2.v1_K_3_45118406","Glyma.03G256500",45137500,45140027,"PTHR11926//PTHR11926:SF197 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED (1 of 6)",3
"OG0001043","K","Osativa_v7.0",11,22946539,22703539,23189539,"Osativa_v7.0_K_11_22946539","LOC_Os11g38650",22925987,22928036,"UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed",3
"OG0012918","Co","Athaliana_TAIR10",4,5724700,5649700,5803444,"Athaliana_TAIR10_Co_4_5724700","AT4G08960",5746289,5748285,"phosphotyrosyl phosphatase activator (PTPA) family protein",3
"OG0012918","Co","Gmax_Wm82.a2.v1",11,25193810,24993810,25393810,"Gmax_Wm82.a2.v1_Co_11_25193810","Glyma.11G184600",25265163,25267323,"K17605 - serine/threonine-protein phosphatase 2A activator (PPP2R4, PTPA)  (1 of 1)",3
"OG0012918","Co","Sbicolor_v3.1.1",10,7516004,7416004,7616004,"Sbicolor_v3.1.1_Co_10_7516004","Sobic.010G088300",7552604,7557833,"similar to Putative uncharacterized protein",3
"OG0002360","Cd","Athaliana_TAIR10",5,195183,120183,270626,"Athaliana_TAIR10_Cd_5_195183","AT5G01360",147482,149367,"Plant protein of unknown function (DUF828)",3
"OG0002360","Cd","Gmax_Wm82.a2.v1",3,7473437,7273437,8048774,"Gmax_Wm82.a2.v1_Cd_3_7473437","Glyma.03G056100",7738891,7742387,"PTHR32285:SF7 - PROTEIN TRICHOME BIREFRINGENCE-LIKE 3 (1 of 6)",3
"OG0002360","Cd","Gmax_Wm82.a2.v1",3,7473437,7273437,8048774,"Gmax_Wm82.a2.v1_Cd_3_7473437","Glyma.03G056200",7748699,7751675,"PTHR32285:SF7 - PROTEIN TRICHOME BIREFRINGENCE-LIKE 3 (1 of 6)",3
"OG0002360","Cd","Osativa_v7.0",3,10062068,9819068,10305094,"Osativa_v7.0_Cd_3_10062068","LOC_Os03g18120",10116219,10120924," proteins of unknown function domain containing protein, expressed",3
"OG0002228","Fe","Athaliana_TAIR10",3,3770299,3695299,3845299,"Athaliana_TAIR10_Fe_3_3770299","AT3G11870",3746998,3749093,"Endoribonuclease/protein kinase IRE1-like",3
"OG0002228","Fe","Gmax_Wm82.a2.v1",11,6485300,6285300,6975170,"Gmax_Wm82.a2.v1_Fe_11_6485300","Glyma.11G087200",6540562,6546821,"K08852 - serine/threonine-protein kinase/endoribonuclease IRE1 (ERN1)  (1 of 4)",3
"OG0002228","Fe","Gmax_Wm82.a2.v1",16,24869272,24669272,25793760,"Gmax_Wm82.a2.v1_Fe_16_24869272","Glyma.16G111800",24720965,24731678,"K08852 - serine/threonine-protein kinase/endoribonuclease IRE1 (ERN1)  (1 of 4)",3
"OG0002228","Fe","Osativa_v7.0",7,17001941,16758941,17245279,"Osativa_v7.0_Fe_7_17001941","LOC_Os07g28820",16870468,16875355,"ribonuclease 2-5A family protein, expressed",3
"OG0003389","Cd","Athaliana_TAIR10",2,15969355,15894355,16044355,"Athaliana_TAIR10_Cd_2_15969355","AT2G38230",16011456,16012508,"pyridoxine biosynthesis 1.1",3
"OG0003389","Cd","Athaliana_TAIR10",2,15969355,15894355,16044355,"Athaliana_TAIR10_Cd_2_15969355","AT2G38210",16007012,16007690,"putative PDX1-like protein 4",3
"OG0003389","Cd","Athaliana_TAIR10",5,195183,120183,270626,"Athaliana_TAIR10_Cd_5_195183","AT5G01410",172318,173614,"Aldolase-type TIM barrel family protein",3
"OG0003389","Cd","Gmax_Wm82.a2.v1",15,6457035,6257035,6878376,"Gmax_Wm82.a2.v1_Cd_15_6457035","Glyma.15G087200",6679798,6681723,"K06215 - pyridoxal 5'-phosphate synthase pdxS subunit (pdxS, pdx1)  (1 of 2)",3
"OG0003389","Cd","Osativa_v7.0",10,274599,31599,840910,"Osativa_v7.0_Cd_10_274599","LOC_Os10g01080",80964,82250,"SOR/SNZ family protein, putative, expressed",3
