"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Athaliana_TAIR10_As_1_23113904","OG0000082","As","Athaliana_TAIR10",1,23113904,23038904,23231849,"AT1G62510",23136369,23137191,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_1_3022570","OG0000739","As","Athaliana_TAIR10",1,3022570,2947570,3097570,"AT1G09170",2956589,2962207,"P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_2_11513435","OG0007221","As","Athaliana_TAIR10",2,11513435,11438435,11588435,"AT2G26890",11462067,11474325,"DNAJ heat shock N-terminal domain-containing protein",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_2_14052289","OG0005767","As","Athaliana_TAIR10",2,14052289,13977289,14135279,"AT2G33220",14078851,14080157,"GRIM-19 protein",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_2_5681805","OG0004557","As","Athaliana_TAIR10",2,5681805,5606805,5756805,"AT2G13610",5673688,5675831,"ABC-2 type transporter family protein",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_3_14334516","OG0000936","As","Athaliana_TAIR10",3,14334516,14259516,14409643,"AT3G42180",14324274,14328676,"Exostosin family protein",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_3_17324153","OG0002494","As","Athaliana_TAIR10",3,17324153,17249153,17399187,"AT3G47070",17337065,17337733,"PF11493 - Thylakoid soluble phosphoprotein TSP9 (TSP9)  (1 of 1)",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_3_840795","OG0008438","As","Athaliana_TAIR10",3,840795,765795,915795,"AT3G03460",822937,824546,"PTHR15572 - GLIOMA TUMOR SUPPRESSOR CANDIDATE REGION GENE 1 (1 of 2)",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_4_10381601","OG0005904","As","Athaliana_TAIR10",4,10381601,10306601,10456601,"AT4G19010",10411490,10414249,"AMP-dependent synthetase and ligase family protein",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_4_13952992","OG0001516","As","Athaliana_TAIR10",4,13952992,13877992,14039833,"AT4G27970",13918290,13920132,"SLAC1 homologue 2",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_4_6655675","OG0001226","As","Athaliana_TAIR10",4,6655675,6580675,6730675,"AT4G10770",6628404,6632599,"oligopeptide transporter 7",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
"Athaliana_TAIR10_As_4_7880079","OG0002302","As","Athaliana_TAIR10",4,7880079,7805079,7955079,"AT4G13640",7936592,7938645,"Homeodomain-like superfamily protein",3,1,0,0.813358490566038,0.111984905660377,0.111984905660377
