"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Sbicolor_v3.1.1_Mn_9_52359730","OG0000052","Mn","Sbicolor_v3.1.1",9,52359730,52259730,52459730,"Sobic.009G167500",52359759,52360882,"similar to Histone H4",5,1,0,0.033,0.967,0.967
"Gmax_Wm82.a2.v1_Mn_15_3182673","OG0000052","Mn","Gmax_Wm82.a2.v1",15,3182673,2982673,3382673,"Glyma.15G043200",3372833,3382848,"",5,1,0,0.045,0.955,0.955
"Gmax_Wm82.a2.v1_Mn_10_5954167","OG0000052","Mn","Gmax_Wm82.a2.v1",10,5954167,5754167,6638305,"Glyma.10G062400",5870029,5870340,"K11254 - histone H4 (H4)  (1 of 20)",5,2,0.5,0.045,0.4775,0.8595
"Gmax_Wm82.a2.v1_Mn_12_5486355","OG0000052","Mn","Gmax_Wm82.a2.v1",12,5486355,5286355,5686355,"Glyma.12G074500",5616463,5617266,"K11254 - histone H4 (H4)  (1 of 20)",5,2,0.5,0.045,0.4775,0.8595
"Gmax_Wm82.a2.v1_Mn_14_45385315","OG0000052","Mn","Gmax_Wm82.a2.v1",14,45385315,45185315,45867736,"Glyma.14G190800",45566998,45568488,"K11254 - histone H4 (H4)  (1 of 20)",5,2,0.5,0.045,0.4775,0.8595
"Sbicolor_v3.1.1_Mn_3_5085915","OG0000052","Mn","Sbicolor_v3.1.1",3,5085915,4985915,5185915,"Sobic.003G057100",5083481,5084295,"similar to Histone H4",5,4,0.75,0.033,0.24175,0.82195
"Sbicolor_v3.1.1_Mn_3_5085915","OG0000052","Mn","Sbicolor_v3.1.1",3,5085915,4985915,5185915,"Sobic.003G056600",5054493,5054804,"similar to Histone H4",5,4,0.75,0.033,0.24175,0.82195
"Athaliana_TAIR10_Mn_1_2368923","OG0000052","Mn","Athaliana_TAIR10",1,2368923,2293923,2443923,"AT1G07660",2368837,2369734,"Histone superfamily protein",5,6,0.833333333333333,0.046,0.159,0.795
"Athaliana_TAIR10_Mn_1_2368923","OG0000052","Mn","Athaliana_TAIR10",1,2368923,2293923,2443923,"AT1G07820",2421216,2421947,"Histone superfamily protein",5,6,0.833333333333333,0.046,0.159,0.795
"Athaliana_TAIR10_Mn_5_24218609","OG0000052","Mn","Athaliana_TAIR10",5,24218609,24143609,24293609,"AT5G59970",24146175,24146726,"Histone superfamily protein",5,6,0.833333333333333,0.046,0.159,0.795
"Sbicolor_v3.1.1_Mn_3_66927560","OG0000052","Mn","Sbicolor_v3.1.1",3,66927560,66827560,67027560,"Sobic.003G347900",66843808,66844475,"similar to Histone H4",5,10,0.9,0.033,0.0967,0.79294
"Gmax_Wm82.a2.v1_Mn_17_3639524","OG0000052","Mn","Gmax_Wm82.a2.v1",17,3639524,3439524,5829436,"Glyma.17G063200",4871508,4872322,"K11254 - histone H4 (H4)  (1 of 20)",5,9,0.888888888888889,0.045,0.106111111111111,0.785222222222222
"Gmax_Wm82.a2.v1_Mn_3_37851829","OG0000052","Mn","Gmax_Wm82.a2.v1",3,37851829,37651829,38887120,"Glyma.03G171400",38589307,38590274,"K11254 - histone H4 (H4)  (1 of 20)",5,9,0.888888888888889,0.045,0.106111111111111,0.785222222222222
"Zmays_RefGen_V4_Mn_3_184589169","OG0000052","Mn","Zmays_RefGen_V4",3,184589169,184489113,184971957,"Zm00001d042954",184749677,184749988,"(1 of 16) K11254 - histone H4 (H4)",5,9,0.888888888888889,0.126,0.0971111111111111,0.718622222222222
"Osativa_v7.0_Mn_9_21840079","OG0000052","Mn","Osativa_v7.0",9,21840079,21597079,22193715,"LOC_Os09g38020",21911963,21912683,"Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed",5,19,0.947368421052632,0.122,0.0462105263157894,0.711642105263158
"Gmax_Wm82.a2.v1_Mn_10_42827138","OG0000110","Mn","Gmax_Wm82.a2.v1",10,42827138,42627138,43186781,"Glyma.10G198500",42958437,42959619,"K11252 - histone H2B (H2B)  (1 of 16)",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_13_41611412","OG0000110","Mn","Gmax_Wm82.a2.v1",13,41611412,41411412,41955907,"Glyma.13G321600",41597488,41598228,"K11252 - histone H2B (H2B)  (1 of 16)",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_14_10201982","OG0000208","Mn","Gmax_Wm82.a2.v1",14,10201982,10001982,11071522,"Glyma.14G102000",10082031,10086953,"PTHR10766:SF46 - ENDOMEMBRANE FAMILY PROTEIN 70 (1 of 4)",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_17_37695284","OG0000208","Mn","Gmax_Wm82.a2.v1",17,37695284,37495284,37895284,"Glyma.17G223200",37649685,37653943,"PTHR10766:SF46 - ENDOMEMBRANE FAMILY PROTEIN 70 (1 of 4)",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_19_43216860","OG0000110","Mn","Gmax_Wm82.a2.v1",19,43216860,43016860,43525754,"Glyma.19G173400",43383360,43384249,"K11252 - histone H2B (H2B)  (1 of 16)",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_2_11045403","OG0000444","Mn","Gmax_Wm82.a2.v1",2,11045403,10845403,11245403,"Glyma.02G115400",11227609,11230080,"K00012 - UDPglucose 6-dehydrogenase (UGDH, ugd)  (1 of 8)",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_2_39080951","OG0000208","Mn","Gmax_Wm82.a2.v1",2,39080951,38880951,39533124,"Glyma.02G204200",38955462,38958364,"PTHR10766:SF37 - ENDOMEMBRANE PROTEIN 70 FAMILY PROTEIN (1 of 5)",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_4_32782075","OG0000500","Mn","Gmax_Wm82.a2.v1",4,32782075,32582075,32982075,"Glyma.04G149900",32603728,32617798,"",4,1,0,0.254725,0.59622,0.59622
"Gmax_Wm82.a2.v1_Mn_4_5534280","OG0000500","Mn","Gmax_Wm82.a2.v1",4,5534280,5334280,5735170,"Glyma.04G068500",5723820,5729361,"",4,1,0,0.254725,0.59622,0.59622
