"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Mg_12_616806","OG0006013","Mg","Gmax_Wm82.a2.v1",12,616806,416806,816806,"Glyma.12G008700",640807,649209,"",4,1,0,0.202615384615385,0.637907692307692,0.637907692307692
"Gmax_Wm82.a2.v1_Mg_16_13090","OG0000197","Mg","Gmax_Wm82.a2.v1",16,13090,1,398520,"Glyma.16G005400",371582,376051,"",4,1,0,0.202615384615385,0.637907692307692,0.637907692307692
"Gmax_Wm82.a2.v1_Mg_4_7868252","OG0000150","Mg","Gmax_Wm82.a2.v1",4,7868252,7668252,8300398,"Glyma.04G092600",8158031,8160711,"PTHR18860:SF27 - 14-3-3-LIKE PROTEIN GF14 LAMBDA (1 of 4)",4,1,0,0.202615384615385,0.637907692307692,0.637907692307692
"Gmax_Wm82.a2.v1_Mg_4_8516644","OG0000150","Mg","Gmax_Wm82.a2.v1",4,8516644,8316644,9253777,"Glyma.04G099900",9132954,9135203,"",4,1,0,0.202615384615385,0.637907692307692,0.637907692307692
"Gmax_Wm82.a2.v1_Mg_5_39845334","OG0002017","Mg","Gmax_Wm82.a2.v1",5,39845334,39645334,40396305,"Glyma.05G217300",39744360,39750943,"PTHR11566:SF58 - DYNAMIN-RELATED PROTEIN 1A (1 of 6)",4,1,0,0.202615384615385,0.637907692307692,0.637907692307692
"Gmax_Wm82.a2.v1_Mg_9_6928198","OG0000197","Mg","Gmax_Wm82.a2.v1",9,6928198,6728198,7135889,"Glyma.09G068500",6937814,6941687,"PTHR12321:SF61 - PHD FINGER PROTEIN ALFIN-LIKE 5 (1 of 2)",4,1,0,0.202615384615385,0.637907692307692,0.637907692307692
"Sbicolor_v3.1.1_Mg_6_58505174","OG0001615","Mg","Sbicolor_v3.1.1",6,58505174,58405174,58605174,"Sobic.006G244800",58463788,58467690,"PTHR33077:SF5 - PROTEIN TIFY 3A-RELATED (1 of 1)",4,1,0,0.242,0.6064,0.6064
"Sbicolor_v3.1.1_Mg_7_55874445","OG0000150","Mg","Sbicolor_v3.1.1",7,55874445,55774445,55974445,"Sobic.007G134000",55800550,55807307,"similar to 14-3-3-like protein GF14-C",4,1,0,0.242,0.6064,0.6064
"Sbicolor_v3.1.1_Mg_9_49866183","OG0000197","Mg","Sbicolor_v3.1.1",9,49866183,49766183,49966183,"Sobic.009G140700",49800339,49805960,"similar to Putative uncharacterized protein",4,1,0,0.242,0.6064,0.6064
"Gmax_Wm82.a2.v1_Mg_11_32865992","OG0000509","Mg","Gmax_Wm82.a2.v1",11,32865992,32665992,33066054,"Glyma.11G235700",33064935,33065946,"PTHR33257:SF5 - EXPRESSED PROTEIN (1 of 8)",4,2,0.5,0.202615384615385,0.318953846153846,0.574116923076923
"Gmax_Wm82.a2.v1_Mg_14_9077966","OG0000197","Mg","Gmax_Wm82.a2.v1",14,9077966,8877966,10099951,"Glyma.14G099700",9714389,9719658,"",4,2,0.5,0.202615384615385,0.318953846153846,0.574116923076923
"Gmax_Wm82.a2.v1_Mg_15_48562471","OG0000689","Mg","Gmax_Wm82.a2.v1",15,48562471,48362471,50522907,"Glyma.15G266700",50295277,50301000,"",4,2,0.5,0.202615384615385,0.318953846153846,0.574116923076923
"Gmax_Wm82.a2.v1_Mg_17_2195337","OG0001615","Mg","Gmax_Wm82.a2.v1",17,2195337,1995337,3283563,"Glyma.17G043700",3239598,3242236,"PTHR33077:SF5 - PROTEIN TIFY 3A-RELATED (1 of 4)",4,2,0.5,0.202615384615385,0.318953846153846,0.574116923076923
