"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Zmays_RefGen_V4_Ca_3_210106248","OG0001914","Ca","Zmays_RefGen_V4",3,210106248,210006248,210206248,"Zm00001d043784",210169696,210174351,"(1 of 3) PTHR22937//PTHR22937:SF63 - RING FINGER CONTAINING PROTEIN // SUBFAMILY NOT NAMED",5,2,0.5,0.045,0.4775,0.8595
"Gmax_Wm82.a2.v1_Ca_5_41780982","OG0001914","Ca","Gmax_Wm82.a2.v1",5,41780982,41580982,42093109,"Glyma.05G241900",41697530,41701571,"PTHR22937:SF18 - F6A14.12 PROTEIN-RELATED (1 of 4)",5,3,0.666666666666667,0.047,0.317666666666667,0.825933333333333
"Gmax_Wm82.a2.v1_Ca_7_9341030","OG0001914","Ca","Gmax_Wm82.a2.v1",7,9341030,9141030,9749242,"Glyma.07G097700",9180670,9186248,"PTHR22937:SF18 - F6A14.12 PROTEIN-RELATED (1 of 4)",5,3,0.666666666666667,0.047,0.317666666666667,0.825933333333333
"Athaliana_TAIR10_Ca_1_27790569","OG0001914","Ca","Athaliana_TAIR10",1,27790569,27715569,27889527,"AT1G73760",27739168,27741207,"RING/U-box superfamily protein",5,5,0.8,0.028,0.1944,0.81648
"Athaliana_TAIR10_Ca_1_6150830","OG0001914","Ca","Athaliana_TAIR10",1,6150830,6075830,6225830,"AT1G17970",6184904,6187472,"RING/U-box superfamily protein",5,6,0.833333333333333,0.028,0.162,0.81
"Sbicolor_v3.1.1_Ca_9_56509105","OG0001914","Ca","Sbicolor_v3.1.1",9,56509105,56409105,56609105,"Sobic.009G221600",56472162,56474856,"similar to Putative uncharacterized protein P0560C03.4",5,11,0.909090909090909,0.05,0.0863636363636364,0.777272727272727
"Osativa_v7.0_Ca_5_27431007","OG0001914","Ca","Osativa_v7.0",5,27431007,27188007,27674007,"LOC_Os05g47670",27317413,27320555,"zinc finger, C3HC4 type domain containing protein, expressed",5,25,0.96,0.046,0.03816,0.770832
"Sbicolor_v3.1.1_Ca_2_60295949","OG0000052","Ca","Sbicolor_v3.1.1",2,60295949,60195949,60395949,"Sobic.002G210500",60336398,60337108,"similar to Histone H4",4,1,0,0.196272727272727,0.642981818181818,0.642981818181818
"Sbicolor_v3.1.1_Ca_1_60005820","OG0000052","Ca","Sbicolor_v3.1.1",1,60005820,59905820,60105820,"Sobic.001G313200",60038023,60038837,"similar to Histone H4",4,2,0.5,0.196272727272727,0.321490909090909,0.578683636363636
"Gmax_Wm82.a2.v1_Ca_10_35325979","OG0000052","Ca","Gmax_Wm82.a2.v1",10,35325979,35125979,35911331,"Glyma.10G133500",35822510,35823417,"K11254 - histone H4 (H4)  (1 of 20)",4,1,0,0.278266666666667,0.577386666666667,0.577386666666667
"Gmax_Wm82.a2.v1_Ca_10_3966761","OG0001469","Ca","Gmax_Wm82.a2.v1",10,3966761,3766761,4166761,"Glyma.10G042300",3771569,3776706,"PTHR21726//PTHR21726:SF36 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.278266666666667,0.577386666666667,0.577386666666667
