"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Rb_17_2731019","OG0000089","Rb","Gmax_Wm82.a2.v1",17,2731019,2531019,2931019,"Glyma.17G037500",2748465,2751003,"PTHR10641//PTHR10641:SF594 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED (1 of 2)",4,1,0,0.166142857142857,0.667085714285714,0.667085714285714
"Gmax_Wm82.a2.v1_Rb_7_34208858","OG0000089","Rb","Gmax_Wm82.a2.v1",7,34208858,34008858,35011959,"Glyma.07G180200",34563001,34563711,"PTHR10641:SF568 - ATMYB2 (1 of 5)",4,1,0,0.166142857142857,0.667085714285714,0.667085714285714
"Gmax_Wm82.a2.v1_Rb_10_1105374","OG0000089","Rb","Gmax_Wm82.a2.v1",10,1105374,905374,1677456,"Glyma.10G010300",976000,977159,"PTHR10641:SF568 - ATMYB2 (1 of 5)",4,2,0.5,0.166142857142857,0.333542857142857,0.600377142857143
"Gmax_Wm82.a2.v1_Rb_10_1105374","OG0000089","Rb","Gmax_Wm82.a2.v1",10,1105374,905374,1677456,"Glyma.10G010400",983901,985551,"PTHR10641:SF494 - TRANSCRIPTION FACTOR MYB108 (1 of 4)",4,2,0.5,0.166142857142857,0.333542857142857,0.600377142857143
"Gmax_Wm82.a2.v1_Rb_18_3222276","OG0001941","Rb","Gmax_Wm82.a2.v1",18,3222276,3022276,3727395,"Glyma.18G039700",3232410,3235002,"PTHR23180//PTHR23180:SF285 - CENTAURIN/ARF // SUBFAMILY NOT NAMED (1 of 2)",4,2,0.5,0.166142857142857,0.333542857142857,0.600377142857143
"Athaliana_TAIR10_Rb_1_26692810","OG0001941","Rb","Athaliana_TAIR10",1,26692810,26617810,26767810,"AT1G70800",26702705,26703790,"Calcium-dependent lipid-binding (CaLB domain) family protein",4,4,0.75,0.1482,0.17036,0.579224
"Athaliana_TAIR10_Rb_1_26692810","OG0001941","Rb","Athaliana_TAIR10",1,26692810,26617810,26767810,"AT1G70810",26704130,26705236,"Calcium-dependent lipid-binding (CaLB domain) family protein",4,4,0.75,0.1482,0.17036,0.579224
"Athaliana_TAIR10_Rb_3_184499","OG0000089","Rb","Athaliana_TAIR10",3,184499,109499,259499,"AT3G01530",210119,211804,"myb domain protein 57",4,4,0.75,0.1482,0.17036,0.579224
"Athaliana_TAIR10_Rb_5_7589711","OG0006625","Rb","Athaliana_TAIR10",5,7589711,7514711,7664711,"AT5G22770",7579263,7588249,"alpha-adaptin",4,6,0.833333333333333,0.1482,0.113573333333333,0.567866666666667
"Athaliana_TAIR10_Rb_5_7589711","OG0006625","Rb","Athaliana_TAIR10",5,7589711,7514711,7664711,"AT5G22780",7589854,7598049,"Adaptor protein complex AP-2, alpha subunit",4,6,0.833333333333333,0.1482,0.113573333333333,0.567866666666667
"Gmax_Wm82.a2.v1_Rb_13_40807233","OG0006625","Rb","Gmax_Wm82.a2.v1",13,40807233,40607233,41890241,"Glyma.13G320200",41460580,41472184,"K11824 - AP-2 complex subunit alpha (AP2A)  (1 of 2)",4,4,0.75,0.166142857142857,0.166771428571429,0.567022857142857
"Zmays_RefGen_V4_Rb_4_2592052","OG0000089","Rb","Zmays_RefGen_V4",4,2592052,2492052,2692052,"Zm00001d048647",2600276,2602518,"(1 of 1) PTHR10641//PTHR10641:SF548 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED",4,2,0.5,0.214,0.3144,0.56592
"Gmax_Wm82.a2.v1_Rb_19_49352315","OG0000089","Rb","Gmax_Wm82.a2.v1",19,49352315,49152315,50809510,"Glyma.19G264200",50731445,50733768,"",4,6,0.833333333333333,0.166142857142857,0.111180952380952,0.555904761904762
"Zmays_RefGen_V4_Rb_9_157569049","OG0006625","Rb","Zmays_RefGen_V4",9,157569049,157469049,157669049,"Zm00001d048511",157574208,157592508,"(1 of 2) K11824 - AP-2 complex subunit alpha (AP2A)",4,3,0.666666666666667,0.214,0.2096,0.54496
"Sbicolor_v3.1.1_Rb_5_70279847","OG0000089","Rb","Sbicolor_v3.1.1",5,70279847,70179847,70379847,"Sobic.005G217200",70279397,70284523,"similar to Myb transcription factor JAMyb",4,3,0.666666666666667,0.220666666666667,0.207822222222222,0.540337777777778
"Zmays_RefGen_V4_Rb_3_221180971","OG0001941","Rb","Zmays_RefGen_V4",3,221180971,221080970,221403147,"Zm00001d044179",221238399,221241312,"(1 of 2) PTHR23180//PTHR23180:SF273 - CENTAURIN/ARF // SUBFAMILY NOT NAMED",4,4,0.75,0.214,0.1572,0.53448
"Sbicolor_v3.1.1_Rb_1_79892248","OG0006625","Rb","Sbicolor_v3.1.1",1,79892248,79792248,79992248,"Sobic.001G534800",79822423,79833727,"similar to Adaptin N terminal region family protein, expressed",4,5,0.8,0.220666666666667,0.124693333333333,0.523712
"Sbicolor_v3.1.1_Rb_3_56273036","OG0001941","Rb","Sbicolor_v3.1.1",3,56273036,56173036,56373036,"Sobic.003G225900",56238857,56240954,"similar to C2 domain-containing protein-like",4,5,0.8,0.220666666666667,0.124693333333333,0.523712
"Sbicolor_v3.1.1_Rb_1_7164734","OG0000149","Rb","Sbicolor_v3.1.1",1,7164734,7064734,7264734,"Sobic.001G094400",7248888,7251372,"PTHR23050//PTHR23050:SF198 - CALCIUM BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)",3,1,0,0.2703625,0.4377825,0.4377825
"Sbicolor_v3.1.1_Rb_2_5038335","OG0000906","Rb","Sbicolor_v3.1.1",2,5038335,4938335,5138335,"Sobic.002G053600",5088853,5093546,"PF01633 - Choline/ethanolamine kinase (Choline_kinase)  (1 of 1)",3,1,0,0.2703625,0.4377825,0.4377825
