"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Sbicolor_v3.1.1_S_7_64331182","OG0000552","S","Sbicolor_v3.1.1",7,64331182,64231182,64431182,"Sobic.007G215200",64366368,64370919,"similar to Chromosome chr7 scaffold_20, whole genome shotgun sequence",4,1,0,0.22325,0.6214,0.6214
"Sbicolor_v3.1.1_S_3_5164854","OG0008926","S","Sbicolor_v3.1.1",3,5164854,5064854,5264854,"Sobic.003G058500",5150270,5159407,"similar to Putative uncharacterized protein",4,5,0.8,0.22325,0.12428,0.521976
"Sbicolor_v3.1.1_S_7_2321664","OG0000163","S","Sbicolor_v3.1.1",7,2321664,2221664,2421664,"Sobic.007G025500",2335069,2340019,"similar to Histidine amino acid transporter",4,5,0.8,0.22325,0.12428,0.521976
"Sbicolor_v3.1.1_S_7_2321664","OG0000163","S","Sbicolor_v3.1.1",7,2321664,2221664,2421664,"Sobic.007G025900",2373791,2377022,"PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED (1 of 8)",4,5,0.8,0.22325,0.12428,0.521976
"Sbicolor_v3.1.1_S_7_2321664","OG0000163","S","Sbicolor_v3.1.1",7,2321664,2221664,2421664,"Sobic.007G025800",2367174,2371549,"similar to Histidine amino acid transporter",4,5,0.8,0.22325,0.12428,0.521976
"Sbicolor_v3.1.1_S_7_2321664","OG0000163","S","Sbicolor_v3.1.1",7,2321664,2221664,2421664,"Sobic.007G025700",2351610,2355614,"similar to Histidine amino acid transporter",4,5,0.8,0.22325,0.12428,0.521976
"Sbicolor_v3.1.1_S_7_2321664","OG0000163","S","Sbicolor_v3.1.1",7,2321664,2221664,2421664,"Sobic.007G025600",2343427,2349395,"PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED (1 of 8)",4,5,0.8,0.22325,0.12428,0.521976
"Sbicolor_v3.1.1_S_10_2576109","OG0001547","S","Sbicolor_v3.1.1",10,2576109,2476109,2676109,"Sobic.010G032600",2598096,2600833,"similar to Putative uncharacterized protein",4,10,0.9,0.22325,0.06214,0.509548
"Zmays_RefGen_V4_S_6_7337851","OG0000163","S","Zmays_RefGen_V4",6,7337851,7237851,7437851,"Zm00001d035157",7246875,7250944,"(1 of 10) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED",4,3,0.666666666666667,0.33925,0.1762,0.45812
"Zmays_RefGen_V4_S_6_7337851","OG0000163","S","Zmays_RefGen_V4",6,7337851,7237851,7437851,"Zm00001d035162",7402215,7405017,"(1 of 10) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED",4,3,0.666666666666667,0.33925,0.1762,0.45812
"Zmays_RefGen_V4_S_6_7337851","OG0000163","S","Zmays_RefGen_V4",6,7337851,7237851,7437851,"Zm00001d035163",7409171,7417031,"(1 of 10) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED",4,3,0.666666666666667,0.33925,0.1762,0.45812
"Zmays_RefGen_V4_S_8_16475907","OG0008926","S","Zmays_RefGen_V4",8,16475907,16375773,16576041,"Zm00001d008663",16399018,16418531,"(1 of 122) 2.7.7.49 - RNA-directed DNA polymerase / Revertase",4,4,0.75,0.33925,0.13215,0.44931
"Athaliana_TAIR10_S_2_9700564","OG0000552","S","Athaliana_TAIR10",2,9700564,9625564,9785907,"AT2G22950",9766127,9769766,"Cation transporter/ E1-E2 ATPase family protein",4,1,0,0.4506,0.43952,0.43952
"Athaliana_TAIR10_S_1_19639293","OG0001547","S","Athaliana_TAIR10",1,19639293,19564293,19714293,"AT1G52710",19638285,19640239,"Rubredoxin-like superfamily protein",4,2,0.5,0.4506,0.21976,0.395568
"Athaliana_TAIR10_S_1_17983415","OG0000163","S","Athaliana_TAIR10",1,17983415,17908415,18058415,"AT1G48640",17986358,17988991,"Transmembrane amino acid transporter family protein",4,3,0.666666666666667,0.4506,0.146506666666667,0.380917333333333
"Athaliana_TAIR10_S_1_30160377","OG0001547","S","Athaliana_TAIR10",1,30160377,30085377,30243833,"AT1G80230",30169456,30171101,"Rubredoxin-like superfamily protein",4,7,0.857142857142857,0.4506,0.0627885714285714,0.364173714285714
"Athaliana_TAIR10_S_5_25240652","OG0008926","S","Athaliana_TAIR10",5,25240652,25165652,25402842,"AT5G63220",25353034,25355500,"PTHR12875:SF0 - GOLGI TO ER TRAFFIC PROTEIN 4 HOMOLOG (1 of 1)",4,8,0.875,0.4506,0.05494,0.362604
"Sbicolor_v3.1.1_S_10_3536844","OG0000394","S","Sbicolor_v3.1.1",10,3536844,3436844,3636844,"Sobic.010G045100",3499965,3502278,"similar to Flowering locus T",3,1,0,0.410177215189873,0.353893670886076,0.353893670886076
"Sbicolor_v3.1.1_S_10_9559450","OG0000502","S","Sbicolor_v3.1.1",10,9559450,9459450,9659450,"Sobic.010G102000",9458742,9460121,"similar to Putative uncharacterized protein",3,1,0,0.410177215189873,0.353893670886076,0.353893670886076
"Sbicolor_v3.1.1_S_1_56504908","OG0000488","S","Sbicolor_v3.1.1",1,56504908,56404908,56604908,"Sobic.001G288100",56440881,56444093,"similar to Expressed protein",3,1,0,0.410177215189873,0.353893670886076,0.353893670886076
"Sbicolor_v3.1.1_S_3_14909343","OG0001826","S","Sbicolor_v3.1.1",3,14909343,14809343,15009343,"Sobic.003G144900",14838677,14844936,"similar to Os01g0305200 protein",3,1,0,0.410177215189873,0.353893670886076,0.353893670886076
"Sbicolor_v3.1.1_S_3_60241418","OG0003026","S","Sbicolor_v3.1.1",3,60241418,60141418,60341418,"Sobic.003G264700",60155299,60157543,"similar to Os01g0692300 protein",3,1,0,0.410177215189873,0.353893670886076,0.353893670886076
