"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Osativa_v7.0_Fe_10_9352052","OG0005327","Fe","Osativa_v7.0",10,9352052,9109052,9595052,"LOC_Os10g18220",9256244,9261352,"GHMP kinases ATP-binding protein, putative, expressed",5,3,0.666666666666667,0.202,0.266,0.6916
"Athaliana_TAIR10_Fe_5_9616327","OG0005327","Fe","Athaliana_TAIR10",5,9616327,9541327,9691327,"AT5G27450",9690607,9693289,"mevalonate kinase",5,3,0.666666666666667,0.212,0.262666666666667,0.682933333333333
"Gmax_Wm82.a2.v1_Fe_19_48289297","OG0005327","Fe","Gmax_Wm82.a2.v1",19,48289297,48089297,48649478,"Glyma.19G236200",48533901,48537127,"",5,4,0.75,0.199,0.20025,0.68085
"Zmays_RefGen_V4_Fe_4_245531202","OG0005327","Fe","Zmays_RefGen_V4",4,245531202,245431175,245631229,"Zm00001d054037",245438586,245441410,"(1 of 3) 2.7.1.36 - Mevalonate kinase",5,8,0.875,0.19,0.10125,0.66825
"Gmax_Wm82.a2.v1_Fe_3_43805728","OG0005327","Fe","Gmax_Wm82.a2.v1",3,43805728,43605728,45553985,"Glyma.03G239000",43806158,43809178,"2.7.1.36 - Mevalonate kinase (1 of 2)",5,8,0.875,0.199,0.100125,0.660825
"Sbicolor_v3.1.1_Fe_4_950061","OG0005327","Fe","Sbicolor_v3.1.1",4,950061,850061,1050061,"Sobic.004G012400",1029919,1033330,"similar to Mevalonate kinase, putative, expressed",5,7,0.857142857142857,0.22,0.111428571428571,0.646285714285714
"Gmax_Wm82.a2.v1_Fe_10_44667217","OG0002923","Fe","Gmax_Wm82.a2.v1",10,44667217,44467217,44867217,"Glyma.10G212400",44497054,44499043,"PTHR32191:SF1 - TETRASPANIN-5-RELATED (1 of 4)",4,1,0,0.409379310344828,0.472496551724138,0.472496551724138
"Gmax_Wm82.a2.v1_Fe_11_11434509","OG0000870","Fe","Gmax_Wm82.a2.v1",11,11434509,11234509,11649511,"Glyma.11G146300",11288420,11289463,"K02870 - large subunit ribosomal protein L12e (RP-L12e, RPL12)  (1 of 4)",4,1,0,0.409379310344828,0.472496551724138,0.472496551724138
"Gmax_Wm82.a2.v1_Fe_16_3111366","OG0000148","Fe","Gmax_Wm82.a2.v1",16,3111366,2911366,3311366,"Glyma.16G031400",2951733,2954473,"",4,1,0,0.409379310344828,0.472496551724138,0.472496551724138
"Gmax_Wm82.a2.v1_Fe_18_52719088","OG0000148","Fe","Gmax_Wm82.a2.v1",18,52719088,52519088,52919088,"Glyma.18G238600",52750924,52752837,"PTHR31221:SF7 - WRKY TRANSCRIPTION FACTOR 24-RELATED (1 of 3)",4,1,0,0.409379310344828,0.472496551724138,0.472496551724138
