"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Zn_11_1097745","OG0000090","Zn","Gmax_Wm82.a2.v1",11,1097745,897745,1603993,"Glyma.11G020200",1418719,1423487,"PTHR24349:SF95 - CALCIUM-DEPENDENT PROTEIN KINASE 3 (1 of 7)",4,1,0,0.282961538461538,0.573630769230769,0.573630769230769
"Gmax_Wm82.a2.v1_Zn_17_35064546","OG0003552","Zn","Gmax_Wm82.a2.v1",17,35064546,34864546,37247238,"Glyma.17G220300",37245513,37249806,"PTHR31447:SF1 - 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE-LIKE PROTEIN (1 of 2)",4,1,0,0.282961538461538,0.573630769230769,0.573630769230769
"Gmax_Wm82.a2.v1_Zn_17_40829472","OG0001606","Zn","Gmax_Wm82.a2.v1",17,40829472,40629472,41049700,"Glyma.17G256400",41027342,41029223,"PTHR10108//PTHR10108:SF837 - METHYLTRANSFERASE // SUBFAMILY NOT NAMED (1 of 3)",4,1,0,0.282961538461538,0.573630769230769,0.573630769230769
"Gmax_Wm82.a2.v1_Zn_19_37467999","OG0010919","Zn","Gmax_Wm82.a2.v1",19,37467999,37267999,37674466,"Glyma.19G117600",37378187,37383287,"PTHR19297:SF93 - CORE-2/I-BRANCHING BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE FAMILY PROTEIN (1 of 2)",4,1,0,0.282961538461538,0.573630769230769,0.573630769230769
"Gmax_Wm82.a2.v1_Zn_2_46908679","OG0000090","Zn","Gmax_Wm82.a2.v1",2,46908679,46708679,47108679,"Glyma.02G291300",47075427,47079964,"PTHR24349:SF89 - CALCIUM-DEPENDENT PROTEIN KINASE 29 (1 of 7)",4,1,0,0.282961538461538,0.573630769230769,0.573630769230769
"Gmax_Wm82.a2.v1_Zn_4_48301210","OG0000130","Zn","Gmax_Wm82.a2.v1",4,48301210,48101210,48501210,"Glyma.04G213100",48485249,48499658,"K11000 - callose synthase [EC:2.4.1.-] Glc b1-3 Glc (CALS)  (1 of 18)",4,1,0,0.282961538461538,0.573630769230769,0.573630769230769
"Gmax_Wm82.a2.v1_Zn_8_15084849","OG0003552","Zn","Gmax_Wm82.a2.v1",8,15084849,14884849,15710243,"Glyma.08G186500",14947245,14951034,"K10767 - alkylated DNA repair protein alkB homolog 5 (ALKBH5)  (1 of 1)",4,1,0,0.282961538461538,0.573630769230769,0.573630769230769
"Gmax_Wm82.a2.v1_Zn_14_48340241","OG0001606","Zn","Gmax_Wm82.a2.v1",14,48340241,48140241,48540241,"Glyma.14G217600",48237349,48239252,"PTHR10108//PTHR10108:SF837 - METHYLTRANSFERASE // SUBFAMILY NOT NAMED (1 of 3)",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_15_46511859","OG0000130","Zn","Gmax_Wm82.a2.v1",15,46511859,46311859,47934759,"Glyma.15G245800",46829270,46851722,"",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_18_12124655","OG0000130","Zn","Gmax_Wm82.a2.v1",18,12124655,11924655,12775330,"Glyma.18G107900",12220182,12260477,"",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_18_12124655","OG0000130","Zn","Gmax_Wm82.a2.v1",18,12124655,11924655,12775330,"Glyma.18G109100",12576818,12661446,"",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_18_56885636","OG0000130","Zn","Gmax_Wm82.a2.v1",18,56885636,56685636,57924502,"Glyma.18G300200",57789188,57820853,"",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_1_54813102","OG0000090","Zn","Gmax_Wm82.a2.v1",1,54813102,54613102,55394325,"Glyma.01G223200",55204517,55209774,"PTHR24349:SF95 - CALCIUM-DEPENDENT PROTEIN KINASE 3 (1 of 7)",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_6_12990773","OG0001176","Zn","Gmax_Wm82.a2.v1",6,12990773,12790773,13199918,"Glyma.06G159100",13102705,13106565,"",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_6_1785765","OG0000224","Zn","Gmax_Wm82.a2.v1",6,1785765,1585765,2825570,"Glyma.06G025300",1920735,1921556,"K14488 - SAUR family protein (SAUR)  (1 of 159)",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Gmax_Wm82.a2.v1_Zn_6_656098","OG0000224","Zn","Gmax_Wm82.a2.v1",6,656098,456098,856098,"Glyma.06G007100",540649,541686,"PTHR31374:SF41 - AUXIN-INDUCED PROTEIN-LIKE-RELATED (1 of 4)",4,2,0.5,0.282961538461538,0.286815384615385,0.516267692307692
"Sbicolor_v3.1.1_Zn_1_24790295","OG0010919","Zn","Sbicolor_v3.1.1",1,24790295,24690295,24890295,"Sobic.001G240100",24695479,24698511,"similar to Secondary cell wall-related glycosyltransferase family 14, putative, expressed",4,1,0,0.376,0.4992,0.4992
"Sbicolor_v3.1.1_Zn_4_61997738","OG0000916","Zn","Sbicolor_v3.1.1",4,61997738,61897738,62097738,"Sobic.004G276133",61938035,61939813,"PF03087 - Arabidopsis protein of unknown function (DUF241)  (1 of 39)",4,1,0,0.376,0.4992,0.4992
"Gmax_Wm82.a2.v1_Zn_14_2563187","OG0000090","Zn","Gmax_Wm82.a2.v1",14,2563187,2363187,3086176,"Glyma.14G035800",2672381,2676894,"PTHR24349:SF131 - CALCIUM-DEPENDENT PROTEIN KINASE 17-RELATED (1 of 2)",4,3,0.666666666666667,0.282961538461538,0.191210256410256,0.497146666666667
"Gmax_Wm82.a2.v1_Zn_6_1215222","OG0000916","Zn","Gmax_Wm82.a2.v1",6,1215222,1015222,1470895,"Glyma.06G019100",1451513,1452959,"PF03087 - Arabidopsis protein of unknown function (DUF241)  (1 of 65)",4,3,0.666666666666667,0.282961538461538,0.191210256410256,0.497146666666667
