org,chr,bp,range,trait
Z.mays,1,2085346,1.00E+05,B11
Z.mays,1,2424793,1.00E+05,B11
Z.mays,1,2427872,1.00E+05,B11
Z.mays,1,4285652,1.00E+05,B11
Z.mays,1,23218908,1.00E+05,B11
Z.mays,1,43110266,1.00E+05,B11
Z.mays,1,49133703,1.00E+05,B11
Z.mays,1,49718865,1.00E+05,B11
Z.mays,1,52604035,1.00E+05,B11
Z.mays,1,53007059,1.00E+05,B11
Z.mays,1,53501091,1.00E+05,B11
Z.mays,1,56229092,1.00E+05,B11
Z.mays,1,77570243,1.00E+05,B11
Z.mays,1,77778187,1.00E+05,B11
Z.mays,1,184585890,1.00E+05,B11
Z.mays,1,199800242,1.00E+05,B11
Z.mays,1,202204025,1.00E+05,B11
Z.mays,1,211304081,1.00E+05,B11
Z.mays,1,217384725,1.00E+05,B11
Z.mays,1,224101811,1.00E+05,B11
Z.mays,1,224800798,1.00E+05,B11
Z.mays,1,225585671,1.00E+05,B11
Z.mays,1,225643149,1.00E+05,B11
Z.mays,1,225688793,1.00E+05,B11
Z.mays,1,280243816,1.00E+05,B11
Z.mays,1,281559916,1.00E+05,B11
Z.mays,1,281680719,1.00E+05,B11
Z.mays,1,291979555,1.00E+05,B11
Z.mays,1,300205561,1.00E+05,B11
Z.mays,10,119011184,1.00E+05,B11
Z.mays,10,128357064,1.00E+05,B11
Z.mays,10,148035286,1.00E+05,B11
Z.mays,10,148051364,1.00E+05,B11
Z.mays,2,4142318,1.00E+05,B11
Z.mays,2,4317658,1.00E+05,B11
Z.mays,2,4441622,1.00E+05,B11
Z.mays,2,5733436,1.00E+05,B11
Z.mays,2,18233481,1.00E+05,B11
Z.mays,2,47359244,1.00E+05,B11
Z.mays,2,67342738,1.00E+05,B11
Z.mays,2,131143677,1.00E+05,B11
Z.mays,2,149113677,1.00E+05,B11
Z.mays,2,189521499,1.00E+05,B11
Z.mays,2,189653140,1.00E+05,B11
Z.mays,2,204060613,1.00E+05,B11
Z.mays,3,56772234,1.00E+05,B11
Z.mays,3,125735478,1.00E+05,B11
Z.mays,3,126094260,1.00E+05,B11
Z.mays,3,126194240,1.00E+05,B11
Z.mays,3,126230980,1.00E+05,B11
Z.mays,3,129509671,1.00E+05,B11
Z.mays,3,130488768,1.00E+05,B11
Z.mays,3,137272768,1.00E+05,B11
Z.mays,3,143569680,1.00E+05,B11
Z.mays,3,162014030,1.00E+05,B11
Z.mays,3,184129648,1.00E+05,B11
Z.mays,3,217796497,1.00E+05,B11
Z.mays,4,763289,1.00E+05,B11
Z.mays,4,2081014,1.00E+05,B11
Z.mays,4,5999927,1.00E+05,B11
Z.mays,4,20200547,1.00E+05,B11
Z.mays,4,58985212,1.00E+05,B11
Z.mays,4,65951223,1.00E+05,B11
Z.mays,4,65977144,1.00E+05,B11
Z.mays,4,143459035,1.00E+05,B11
Z.mays,4,175710344,1.00E+05,B11
Z.mays,4,185651558,1.00E+05,B11
Z.mays,4,185816713,1.00E+05,B11
Z.mays,4,185816829,1.00E+05,B11
Z.mays,4,188155292,1.00E+05,B11
Z.mays,4,191474401,1.00E+05,B11
Z.mays,4,232129380,1.00E+05,B11
Z.mays,4,235743204,1.00E+05,B11
Z.mays,5,15011488,1.00E+05,B11
Z.mays,5,15608139,1.00E+05,B11
Z.mays,5,28177178,1.00E+05,B11
Z.mays,5,84423537,1.00E+05,B11
Z.mays,5,86230908,1.00E+05,B11
Z.mays,5,87333408,1.00E+05,B11
Z.mays,5,102271051,1.00E+05,B11
Z.mays,5,143174552,1.00E+05,B11
Z.mays,5,186284796,1.00E+05,B11
Z.mays,5,187012050,1.00E+05,B11
Z.mays,5,206106442,1.00E+05,B11
Z.mays,5,209529002,1.00E+05,B11
Z.mays,5,209774979,1.00E+05,B11
Z.mays,5,209924552,1.00E+05,B11
Z.mays,6,40180191,1.00E+05,B11
Z.mays,6,92650721,1.00E+05,B11
Z.mays,6,93490548,1.00E+05,B11
Z.mays,6,160796165,1.00E+05,B11
Z.mays,6,160850157,1.00E+05,B11
Z.mays,6,161663705,1.00E+05,B11
Z.mays,6,161663719,1.00E+05,B11
Z.mays,6,161834527,1.00E+05,B11
Z.mays,6,161836204,1.00E+05,B11
Z.mays,6,162877269,1.00E+05,B11
Z.mays,7,1179998,1.00E+05,B11
Z.mays,7,97483936,1.00E+05,B11
Z.mays,7,117154007,1.00E+05,B11
Z.mays,7,168442610,1.00E+05,B11
Z.mays,7,168486585,1.00E+05,B11
Z.mays,7,169373058,1.00E+05,B11
Z.mays,8,1110136,1.00E+05,B11
Z.mays,8,1643736,1.00E+05,B11
Z.mays,8,1673067,1.00E+05,B11
Z.mays,8,18238415,1.00E+05,B11
Z.mays,8,24880904,1.00E+05,B11
Z.mays,8,98348132,1.00E+05,B11
Z.mays,8,139796179,1.00E+05,B11
Z.mays,8,140421768,1.00E+05,B11
Z.mays,8,141834440,1.00E+05,B11
Z.mays,8,141834463,1.00E+05,B11
Z.mays,8,148301281,1.00E+05,B11
Z.mays,8,150805399,1.00E+05,B11
Z.mays,8,152244652,1.00E+05,B11
Z.mays,8,157373709,1.00E+05,B11
Z.mays,8,157507089,1.00E+05,B11
Z.mays,8,173770577,1.00E+05,B11
Z.mays,9,10333086,1.00E+05,B11
Z.mays,9,11170157,1.00E+05,B11
Z.mays,9,18628552,1.00E+05,B11
Z.mays,9,18628563,1.00E+05,B11
Z.mays,9,18921985,1.00E+05,B11
Z.mays,9,20293302,1.00E+05,B11
Z.mays,9,29776344,1.00E+05,B11
Z.mays,9,32476979,1.00E+05,B11
Z.mays,9,42677890,1.00E+05,B11
Z.mays,9,96484321,1.00E+05,B11
Z.mays,9,96484322,1.00E+05,B11
Z.mays,9,97779819,1.00E+05,B11
Z.mays,9,103935755,1.00E+05,B11
Z.mays,9,126044416,1.00E+05,B11
Z.mays,9,151748462,1.00E+05,B11
Z.mays,9,152240431,1.00E+05,B11
Z.mays,9,152245079,1.00E+05,B11
Z.mays,9,152314902,1.00E+05,B11
Z.mays,9,152565782,1.00E+05,B11
Z.mays,9,153715823,1.00E+05,B11
Z.mays,1,4711,1.00E+05,Co59
Z.mays,1,23890,1.00E+05,Co59
Z.mays,1,537049,1.00E+05,Co59
Z.mays,1,1635332,1.00E+05,Co59
Z.mays,1,2212907,1.00E+05,Co59
Z.mays,1,3015236,1.00E+05,Co59
Z.mays,1,3015236,1.00E+05,Co59
Z.mays,1,3080062,1.00E+05,Co59
Z.mays,1,3082093,1.00E+05,Co59
Z.mays,1,3361983,1.00E+05,Co59
Z.mays,1,3410756,1.00E+05,Co59
Z.mays,1,3646292,1.00E+05,Co59
Z.mays,1,3985657,1.00E+05,Co59
Z.mays,1,4048968,1.00E+05,Co59
Z.mays,1,4615657,1.00E+05,Co59
Z.mays,1,4758517,1.00E+05,Co59
Z.mays,1,5012393,1.00E+05,Co59
Z.mays,1,5139832,1.00E+05,Co59
Z.mays,1,5274762,1.00E+05,Co59
Z.mays,1,5399807,1.00E+05,Co59
Z.mays,1,5399841,1.00E+05,Co59
Z.mays,1,5428663,1.00E+05,Co59
Z.mays,1,5593293,1.00E+05,Co59
Z.mays,1,5593293,1.00E+05,Co59
Z.mays,1,7927154,1.00E+05,Co59
Z.mays,1,7927154,1.00E+05,Co59
Z.mays,1,8341576,1.00E+05,Co59
Z.mays,1,8973509,1.00E+05,Co59
Z.mays,1,9824202,1.00E+05,Co59
Z.mays,1,10409596,1.00E+05,Co59
Z.mays,1,10409596,1.00E+05,Co59
Z.mays,1,10434979,1.00E+05,Co59
Z.mays,1,10510685,1.00E+05,Co59
Z.mays,1,10537651,1.00E+05,Co59
Z.mays,1,10537651,1.00E+05,Co59
Z.mays,1,10537778,1.00E+05,Co59
Z.mays,1,10624562,1.00E+05,Co59
Z.mays,1,10628223,1.00E+05,Co59
Z.mays,1,10721037,1.00E+05,Co59
Z.mays,1,10910922,1.00E+05,Co59
Z.mays,1,10915233,1.00E+05,Co59
Z.mays,1,11440825,1.00E+05,Co59
Z.mays,1,11471126,1.00E+05,Co59
Z.mays,1,12724175,1.00E+05,Co59
Z.mays,1,13692080,1.00E+05,Co59
Z.mays,1,18885481,1.00E+05,Co59
Z.mays,1,19127344,1.00E+05,Co59
Z.mays,1,22033451,1.00E+05,Co59
Z.mays,1,22465940,1.00E+05,Co59
Z.mays,1,22921802,1.00E+05,Co59
Z.mays,1,25096800,1.00E+05,Co59
Z.mays,1,26426235,1.00E+05,Co59
Z.mays,1,26527122,1.00E+05,Co59
Z.mays,1,26554136,1.00E+05,Co59
Z.mays,1,28517710,1.00E+05,Co59
Z.mays,1,29083867,1.00E+05,Co59
Z.mays,1,29274585,1.00E+05,Co59
Z.mays,1,30184386,1.00E+05,Co59
Z.mays,1,30242783,1.00E+05,Co59
Z.mays,1,30415995,1.00E+05,Co59
Z.mays,1,30616532,1.00E+05,Co59
Z.mays,1,30792410,1.00E+05,Co59
Z.mays,1,32113364,1.00E+05,Co59
Z.mays,1,32659213,1.00E+05,Co59
Z.mays,1,34000393,1.00E+05,Co59
Z.mays,1,34086446,1.00E+05,Co59
Z.mays,1,34165137,1.00E+05,Co59
Z.mays,1,34165137,1.00E+05,Co59
Z.mays,1,39638523,1.00E+05,Co59
Z.mays,1,39638523,1.00E+05,Co59
Z.mays,1,39645566,1.00E+05,Co59
Z.mays,1,40027705,1.00E+05,Co59
Z.mays,1,40027705,1.00E+05,Co59
Z.mays,1,40122336,1.00E+05,Co59
Z.mays,1,40480511,1.00E+05,Co59
Z.mays,1,42814539,1.00E+05,Co59
Z.mays,1,43926263,1.00E+05,Co59
Z.mays,1,44944273,1.00E+05,Co59
Z.mays,1,47512014,1.00E+05,Co59
Z.mays,1,47512014,1.00E+05,Co59
Z.mays,1,47512014,1.00E+05,Co59
Z.mays,1,51139444,1.00E+05,Co59
Z.mays,1,51139444,1.00E+05,Co59
Z.mays,1,52044990,1.00E+05,Co59
Z.mays,1,52054243,1.00E+05,Co59
Z.mays,1,53861788,1.00E+05,Co59
Z.mays,1,54325450,1.00E+05,Co59
Z.mays,1,54341456,1.00E+05,Co59
Z.mays,1,54775261,1.00E+05,Co59
Z.mays,1,56114291,1.00E+05,Co59
Z.mays,1,56756608,1.00E+05,Co59
Z.mays,1,57753970,1.00E+05,Co59
Z.mays,1,58151383,1.00E+05,Co59
Z.mays,1,58926921,1.00E+05,Co59
Z.mays,1,58947287,1.00E+05,Co59
Z.mays,1,58948542,1.00E+05,Co59
Z.mays,1,58951012,1.00E+05,Co59
Z.mays,1,59758506,1.00E+05,Co59
Z.mays,1,60167830,1.00E+05,Co59
Z.mays,1,60458080,1.00E+05,Co59
Z.mays,1,60479893,1.00E+05,Co59
Z.mays,1,60508859,1.00E+05,Co59
Z.mays,1,60522068,1.00E+05,Co59
Z.mays,1,60531689,1.00E+05,Co59
Z.mays,1,60555364,1.00E+05,Co59
Z.mays,1,60561624,1.00E+05,Co59
Z.mays,1,62176682,1.00E+05,Co59
Z.mays,1,62865078,1.00E+05,Co59
Z.mays,1,70431843,1.00E+05,Co59
Z.mays,1,70781467,1.00E+05,Co59
Z.mays,1,74489618,1.00E+05,Co59
Z.mays,1,75562177,1.00E+05,Co59
Z.mays,1,75562177,1.00E+05,Co59
Z.mays,1,75960994,1.00E+05,Co59
Z.mays,1,76327077,1.00E+05,Co59
Z.mays,1,77539254,1.00E+05,Co59
Z.mays,1,77569536,1.00E+05,Co59
Z.mays,1,77569536,1.00E+05,Co59
Z.mays,1,78838737,1.00E+05,Co59
Z.mays,1,78850918,1.00E+05,Co59
Z.mays,1,80113413,1.00E+05,Co59
Z.mays,1,80113413,1.00E+05,Co59
Z.mays,1,83423480,1.00E+05,Co59
Z.mays,1,83441874,1.00E+05,Co59
Z.mays,1,85859128,1.00E+05,Co59
Z.mays,1,86278017,1.00E+05,Co59
Z.mays,1,86279592,1.00E+05,Co59
Z.mays,1,86692536,1.00E+05,Co59
Z.mays,1,86692536,1.00E+05,Co59
Z.mays,1,90654483,1.00E+05,Co59
Z.mays,1,90948615,1.00E+05,Co59
Z.mays,1,92166503,1.00E+05,Co59
Z.mays,1,92209324,1.00E+05,Co59
Z.mays,1,92759123,1.00E+05,Co59
Z.mays,1,92764121,1.00E+05,Co59
Z.mays,1,92765000,1.00E+05,Co59
Z.mays,1,92765052,1.00E+05,Co59
Z.mays,1,93339571,1.00E+05,Co59
Z.mays,1,97132178,1.00E+05,Co59
Z.mays,1,97132178,1.00E+05,Co59
Z.mays,1,105880338,1.00E+05,Co59
Z.mays,1,110588776,1.00E+05,Co59
Z.mays,1,110591587,1.00E+05,Co59
Z.mays,1,155217218,1.00E+05,Co59
