"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Sbicolor_v3.1.1_Cd_2_8713058","OG0001413","Cd","Sbicolor_v3.1.1",2,8713058,8613058,8979057,"Sobic.002G082600",8843384,8845841,"similar to Putative uncharacterized protein OSJNBa0086N05.106",5,17,0.941176470588235,0.0376,0.0566117647058824,0.781242352941176
"Sbicolor_v3.1.1_Cd_2_8713058","OG0001413","Cd","Sbicolor_v3.1.1",2,8713058,8613058,8979057,"Sobic.002G082500",8825781,8826321,"similar to Putative uncharacterized protein OSJNBa0086N05.106",5,17,0.941176470588235,0.0376,0.0566117647058824,0.781242352941176
"Sbicolor_v3.1.1_Cd_2_8713058","OG0001413","Cd","Sbicolor_v3.1.1",2,8713058,8613058,8979057,"Sobic.002G082700",8848138,8849431,"PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 6)",5,17,0.941176470588235,0.0376,0.0566117647058824,0.781242352941176
"Sbicolor_v3.1.1_Cd_2_8713058","OG0001413","Cd","Sbicolor_v3.1.1",2,8713058,8613058,8979057,"Sobic.002G082350",8789143,8789989,"PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 6)",5,17,0.941176470588235,0.0376,0.0566117647058824,0.781242352941176
"Sbicolor_v3.1.1_Cd_2_8713058","OG0001413","Cd","Sbicolor_v3.1.1",2,8713058,8613058,8979057,"Sobic.002G082800",8852665,8853949,"similar to Putative uncharacterized protein OSJNBa0086N05.106",5,17,0.941176470588235,0.0376,0.0566117647058824,0.781242352941176
"Gmax_Wm82.a2.v1_Cd_18_49547271","OG0001413","Cd","Gmax_Wm82.a2.v1",18,49547271,49347271,49747271,"Glyma.18G209800",49526729,49530144,"PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 13)",5,2,0.5,0.18,0.41,0.738
"Zmays_RefGen_V4_Cd_2_162963402","OG0001413","Cd","Zmays_RefGen_V4",2,162963402,162863402,163338949,"Zm00001d005193",163079620,163082144,"(1 of 2) PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED",5,8,0.875,0.173,0.103375,0.682275
"Gmax_Wm82.a2.v1_Cd_9_49283401","OG0001413","Cd","Gmax_Wm82.a2.v1",9,49283401,49083401,49914992,"Glyma.09G279000",49431550,49433717,"",5,11,0.909090909090909,0.18,0.0745454545454546,0.670909090909091
"Athaliana_TAIR10_Cd_1_12348948","OG0001413","Cd","Athaliana_TAIR10",1,12348948,12273948,12423948,"AT1G33840",12283862,12285306,"Protein of unknown function (DUF567)",5,6,0.833333333333333,0.232,0.128,0.64
"Osativa_v7.0_Cd_7_6750728","OG0001413","Cd","Osativa_v7.0",7,6750728,6507728,9779620,"LOC_Os07g12730",7272856,7274721,"DUF567 domain containing protein, putative, expressed",5,24,0.958333333333333,0.261,0.0307916666666666,0.597358333333333
"Gmax_Wm82.a2.v1_Cd_13_17558664","OG0000149","Cd","Gmax_Wm82.a2.v1",13,17558664,17358664,17870971,"Glyma.13G074800",17765288,17766633,"PTHR23050:SF166 - CALMODULIN-5 (1 of 2)",4,1,0,0.29013986013986,0.567888111888112,0.567888111888112
"Gmax_Wm82.a2.v1_Cd_15_5241013","OG0010787","Cd","Gmax_Wm82.a2.v1",15,5241013,5041013,5462353,"Glyma.15G070000",5346678,5351788,"",4,1,0,0.29013986013986,0.567888111888112,0.567888111888112
"Gmax_Wm82.a2.v1_Cd_16_14837151","OG0007694","Cd","Gmax_Wm82.a2.v1",16,14837151,14637151,15037151,"Glyma.16G092500",14726014,14744004,"",4,1,0,0.29013986013986,0.567888111888112,0.567888111888112
"Gmax_Wm82.a2.v1_Cd_19_19931048","OG0000149","Cd","Gmax_Wm82.a2.v1",19,19931048,19731048,20250747,"Glyma.19G068300",20123959,20126811,"PTHR23050:SF153 - CALMODULIN-1-RELATED (1 of 6)",4,1,0,0.29013986013986,0.567888111888112,0.567888111888112
"Gmax_Wm82.a2.v1_Cd_1_3863726","OG0000499","Cd","Gmax_Wm82.a2.v1",1,3863726,3663726,4063726,"Glyma.01G035300",3678713,3680543,"PF14009 - Domain of unknown function (DUF4228) (DUF4228)  (1 of 81)",4,1,0,0.29013986013986,0.567888111888112,0.567888111888112
"Gmax_Wm82.a2.v1_Cd_3_10458887","OG0000160","Cd","Gmax_Wm82.a2.v1",3,10458887,10258887,10658887,"Glyma.03G063900",10258579,10265061,"PTHR22950:SF256 - AUXIN TRANSPORTER PROTEIN 1-RELATED (1 of 5)",4,1,0,0.29013986013986,0.567888111888112,0.567888111888112
"Gmax_Wm82.a2.v1_Cd_9_8503841","OG0007694","Cd","Gmax_Wm82.a2.v1",9,8503841,8303841,8935596,"Glyma.09G078400",8738961,8744802,"",4,1,0,0.29013986013986,0.567888111888112,0.567888111888112
"Sbicolor_v3.1.1_Cd_3_58247498","OG0000104","Cd","Sbicolor_v3.1.1",3,58247498,58147498,58347498,"Sobic.003G243600",58300832,58304101,"similar to Ubiquitin carrier protein",4,1,0,0.297329113924051,0.56213670886076,0.56213670886076
"Sbicolor_v3.1.1_Cd_4_7776067","OG0001890","Cd","Sbicolor_v3.1.1",4,7776067,7676067,7876067,"Sobic.004G092500",7869380,7877707,"similar to Serine/threonine-protein phosphatase PP2A-5 catalytic subunit",4,1,0,0.297329113924051,0.56213670886076,0.56213670886076
