"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Sbicolor_v3.1.1_P_9_370203","OG0000073","P","Sbicolor_v3.1.1",9,370203,270203,470203,"Sobic.009G003700",351560,357800,"similar to OSJNBa0005N02.3 protein",4,1,0,0.45325,0.4374,0.4374
"Gmax_Wm82.a2.v1_P_12_6224858","OG0000073","P","Gmax_Wm82.a2.v1",12,6224858,6024858,6697552,"Glyma.12G083500",6649319,6655621,"PTHR22891:SF40 - PROTEIN ARGONAUTE 5 (1 of 7)",4,1,0,0.473375,0.4213,0.4213
"Gmax_Wm82.a2.v1_P_17_9418936","OG0000073","P","Gmax_Wm82.a2.v1",17,9418936,9218936,9649414,"Glyma.17G119400",9422086,9440192,"",4,1,0,0.473375,0.4213,0.4213
"Gmax_Wm82.a2.v1_P_20_39116148","OG0000073","P","Gmax_Wm82.a2.v1",20,39116148,38916148,39316148,"Glyma.20G151400",39014555,39023364,"",4,1,0,0.473375,0.4213,0.4213
"Gmax_Wm82.a2.v1_P_3_41342672","OG0000073","P","Gmax_Wm82.a2.v1",3,41342672,41142672,41542672,"Glyma.03G207800",41508411,41509425,"PTHR22891:SF40 - PROTEIN ARGONAUTE 5 (1 of 7)",4,1,0,0.473375,0.4213,0.4213
"Gmax_Wm82.a2.v1_P_6_20991944","OG0000073","P","Gmax_Wm82.a2.v1",6,20991944,20791944,21806676,"Glyma.06G213300",21548690,21565666,"",4,1,0,0.473375,0.4213,0.4213
"Gmax_Wm82.a2.v1_P_9_39137680","OG0000073","P","Gmax_Wm82.a2.v1",9,39137680,38937680,39337680,"Glyma.09G167100",39114301,39121390,"PTHR22891//PTHR22891:SF34 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2C // SUBFAMILY NOT NAMED (1 of 2)",4,1,0,0.473375,0.4213,0.4213
"Sbicolor_v3.1.1_P_8_2121734","OG0005100","P","Sbicolor_v3.1.1",8,2121734,2021734,2221734,"Sobic.008G023401",2060708,2063702,"PTHR31636:SF12 - PROTEIN SCARECROW (1 of 2)",4,2,0.5,0.45325,0.2187,0.39366
"Gmax_Wm82.a2.v1_P_10_4038861","OG0000205","P","Gmax_Wm82.a2.v1",10,4038861,3838861,4601072,"Glyma.10G044700",3984850,3988829,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_10_48860704","OG0010600","P","Gmax_Wm82.a2.v1",10,48860704,48660704,49060704,"Glyma.10G264500",48875304,48876827,"PF12854//PF13041//PF13812 - PPR repeat (PPR_1)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  (1 of 6)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_10_4982933","OG0000072","P","Gmax_Wm82.a2.v1",10,4982933,4782933,5188832,"Glyma.10G053800",4876657,4880178,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_11_421061","OG0000574","P","Gmax_Wm82.a2.v1",11,421061,221061,789586,"Glyma.11G010500",737013,741142,"6.2.1.34 - Trans-feruloyl-CoA synthase / Trans-feruloyl-CoA synthetase (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_11_9462961","OG0000632","P","Gmax_Wm82.a2.v1",11,9462961,9262961,9662989,"Glyma.11G124500",9466533,9468193,"PTHR22595//PTHR22595:SF61 - CHITINASE-RELATED // SUBFAMILY NOT NAMED (1 of 5)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_12_2969081","OG0000931","P","Gmax_Wm82.a2.v1",12,2969081,2769081,3169081,"Glyma.12G039900",2877655,2880570,"K01527 - nascent polypeptide-associated complex subunit beta (EGD1, BTF3)  (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
