"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Cu_14_2757432","OG0000090","Cu","Gmax_Wm82.a2.v1",14,2757432,2557432,3167355,"Glyma.14G035800",2672381,2676894,"PTHR24349:SF131 - CALCIUM-DEPENDENT PROTEIN KINASE 17-RELATED (1 of 2)",5,1,0,0.030875,0.969125,0.969125
"Gmax_Wm82.a2.v1_Cu_2_45991978","OG0000090","Cu","Gmax_Wm82.a2.v1",2,45991978,45791978,46191978,"Glyma.02G278900",46119184,46126479,"PTHR24349:SF131 - CALCIUM-DEPENDENT PROTEIN KINASE 17-RELATED (1 of 2)",5,1,0,0.030875,0.969125,0.969125
"Gmax_Wm82.a2.v1_Cu_6_21400435","OG0000073","Cu","Gmax_Wm82.a2.v1",6,21400435,21200435,21600435,"Glyma.06G213300",21548690,21565666,"",5,1,0,0.030875,0.969125,0.969125
"Gmax_Wm82.a2.v1_Cu_9_38964919","OG0000073","Cu","Gmax_Wm82.a2.v1",9,38964919,38764919,39164919,"Glyma.09G167100",39114301,39121390,"PTHR22891//PTHR22891:SF34 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2C // SUBFAMILY NOT NAMED (1 of 2)",5,1,0,0.030875,0.969125,0.969125
"Zmays_RefGen_V4_Cu_2_192768835.466667","OG0000073","Cu","Zmays_RefGen_V4",2,192768835.466667,192665953,192870219,"Zm00001d005921",192820700,192821501,"(1 of 1) PTHR22891//PTHR22891:SF36 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2C // SUBFAMILY NOT NAMED",5,1,0,0.0433333333333333,0.956666666666667,0.956666666666667
"Zmays_RefGen_V4_Cu_3_190156620","OG0000090","Cu","Zmays_RefGen_V4",3,190156620,190056620,190256620,"Zm00001d043150",190207243,190210350,"(1 of 1497) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase",5,1,0,0.0433333333333333,0.956666666666667,0.956666666666667
"Zmays_RefGen_V4_Cu_8_149451570","OG0000090","Cu","Zmays_RefGen_V4",8,149451570,149351570,149551570,"Zm00001d011392",149387614,149392198,"(1 of 1497) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase",5,1,0,0.0433333333333333,0.956666666666667,0.956666666666667
"Sbicolor_v3.1.1_Cu_10_52123646","OG0000073","Cu","Sbicolor_v3.1.1",10,52123646,52023646,52299666,"Sobic.010G180800",52023606,52037400,"similar to ZLL/PNH homologous protein",5,1,0,0.064,0.936,0.936
"Gmax_Wm82.a2.v1_Cu_14_1135184","OG0000090","Cu","Gmax_Wm82.a2.v1",14,1135184,935184,2242679,"Glyma.14G023500",1669047,1673690,"PTHR24349:SF89 - CALCIUM-DEPENDENT PROTEIN KINASE 29 (1 of 7)",5,2,0.5,0.030875,0.4845625,0.8722125
"Sbicolor_v3.1.1_Cu_3_56114184","OG0000090","Cu","Sbicolor_v3.1.1",3,56114184,56014184,56214184,"Sobic.003G225200",56120809,56126363,"similar to Putative calcium-dependent protein kinase",5,3,0.666666666666667,0.064,0.312,0.8112
"Athaliana_TAIR10_Cu_5_17636248","OG0000073","Cu","Athaliana_TAIR10",5,17636248,17561248,17711248,"AT5G43810",17610972,17616797,"Stabilizer of iron transporter SufD / Polynucleotidyl transferase",5,3,0.666666666666667,0.065,0.311666666666667,0.810333333333333
