"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Zmays_RefGen_V4_Se_7_162502247","OG0002872","Se","Zmays_RefGen_V4",7,162502247,162402247,162602247,"Zm00001d021761",162527404,162529059,"(1 of 2) PTHR10641:SF586 - MYB TRANSCRIPTION FACTOR-RELATED",4,1,0,0.279,0.5768,0.5768
"Sbicolor_v3.1.1_Se_2_70461333","OG0002872","Se","Sbicolor_v3.1.1",2,70461333,70361333,70561333,"Sobic.002G337800",70511999,70514411,"similar to Myb protein",4,2,0.5,0.286,0.2856,0.51408
"Athaliana_TAIR10_Se_4_2356891","OG0002872","Se","Athaliana_TAIR10",4,2356891,2281891,2719995,"AT4G05100",2618454,2619887,"myb domain protein 74",4,6,0.833333333333333,0.387,0.0817333333333333,0.408666666666667
"Gmax_Wm82.a2.v1_Se_10_39288636","OG0000393","Se","Gmax_Wm82.a2.v1",10,39288636,39088636,39599079,"Glyma.10G157800",39191358,39192971,"K14490 - histidine-containing phosphotransfer peotein (AHP)  (1 of 19)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_10_44920131","OG0001242","Se","Gmax_Wm82.a2.v1",10,44920131,44720131,45422008,"Glyma.10G221600",45320219,45322143,"K02964 - small subunit ribosomal protein S18e (RP-S18e, RPS18)  (1 of 5)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_11_10477945","OG0000539","Se","Gmax_Wm82.a2.v1",11,10477945,10277945,10677945,"Glyma.11G137300",10440672,10442651,"PTHR22763//PTHR22763:SF42 - RING ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED (1 of 5)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_11_1170503","OG0000090","Se","Gmax_Wm82.a2.v1",11,1170503,970503,1573262,"Glyma.11G020200",1418719,1423487,"PTHR24349:SF95 - CALCIUM-DEPENDENT PROTEIN KINASE 3 (1 of 7)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_11_30020447","OG0000540","Se","Gmax_Wm82.a2.v1",11,30020447,29820447,30910608,"Glyma.11G209200",30063770,30065301,"K02943 - large subunit ribosomal protein LP2 (RP-LP2, RPLP2)  (1 of 6)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_11_421061","OG0002943","Se","Gmax_Wm82.a2.v1",11,421061,221061,780183,"Glyma.11G006900",487543,492345,"PTHR12446:SF21 - CRC DOMAIN-CONTAINING PROTEIN TSO1-RELATED (1 of 4)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_11_9081988","OG0001578","Se","Gmax_Wm82.a2.v1",11,9081988,8881988,9283067,"Glyma.11G119800",9138785,9142228,"2.4.1.37 - Fucosylgalactoside 3-alpha-galactosyltransferase / galactosyltransferase (1 of 4)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_12_36916909","OG0000479","Se","Gmax_Wm82.a2.v1",12,36916909,36716909,37116909,"Glyma.12G212000",37097018,37101883,"",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_12_4278577","OG0000539","Se","Gmax_Wm82.a2.v1",12,4278577,4078577,4564475,"Glyma.12G060700",4406789,4408502,"PTHR22763//PTHR22763:SF42 - RING ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED (1 of 5)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_13_10218763","OG0003916","Se","Gmax_Wm82.a2.v1",13,10218763,10018763,10824869,"Glyma.13G032400",10365449,10376174,"",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_13_20400034","OG0001224","Se","Gmax_Wm82.a2.v1",13,20400034,20200034,20765648,"Glyma.13G090900",20569584,20573299,"K02267 - cytochrome c oxidase subunit 6b (COX6B)  (1 of 5)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_13_21067848","OG0000497","Se","Gmax_Wm82.a2.v1",13,21067848,20867848,21295928,"Glyma.13G094300",20946885,20949674,"PTHR11926:SF292 - UDP-GLYCOSYLTRANSFERASE 78D1-RELATED (1 of 1)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_13_28384474","OG0004623","Se","Gmax_Wm82.a2.v1",13,28384474,28184474,28976094,"Glyma.13G174400",28860527,28862972,"PTHR23308:SF34 - F16B3.3 PROTEIN (1 of 2)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_13_39651147","OG0002900","Se","Gmax_Wm82.a2.v1",13,39651147,39451147,39854218,"Glyma.13G297100",39600226,39605930,"PTHR12741:SF14 - CALLOSE SYNTHASE 12 (1 of 3)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_13_44344336","OG0004954","Se","Gmax_Wm82.a2.v1",13,44344336,44144336,44557080,"Glyma.13G354100",44243093,44247000,"",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_13_7767773","OG0001107","Se","Gmax_Wm82.a2.v1",13,7767773,7567773,8150480,"Glyma.13G028400",7785409,7791241,"",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_14_2563187","OG0000090","Se","Gmax_Wm82.a2.v1",14,2563187,2363187,2798265,"Glyma.14G035800",2672381,2676894,"PTHR24349:SF131 - CALCIUM-DEPENDENT PROTEIN KINASE 17-RELATED (1 of 2)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_14_3080474","OG0001646","Se","Gmax_Wm82.a2.v1",14,3080474,2880474,3375028,"Glyma.14G042000",3170003,3173590,"PTHR11695//PTHR11695:SF490 - ALCOHOL DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_14_41331537","OG0006216","Se","Gmax_Wm82.a2.v1",14,41331537,41131537,41619287,"Glyma.14G166600",41176138,41178894,"",3,1,0,0.3642,0.38148,0.38148
"Gmax_Wm82.a2.v1_Se_15_13997498","OG0000040","Se","Gmax_Wm82.a2.v1",15,13997498,13797498,14483936,"Glyma.15G162600",13923374,13932194,"K01535 - H+-transporting ATPase (E3.6.3.6)  (1 of 24)",3,1,0,0.3642,0.38148,0.38148
