Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os12g38350,Chr12,23530356,23531013,"RALFL43 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
LOC_Os10g16500,Chr10,8228773,8229570,expressed protein
LOC_Os05g06190,Chr5,3105740,3107685,expressed protein
LOC_Os01g45624,Chr1,25923454,25924153,"oleosin, putative, expressed"
LOC_Os02g22060,Chr2,13119915,13127569,expressed protein
LOC_Os07g03190,Chr7,1248874,1250251,"PHLOEM 2-LIKE A10, putative, expressed"
LOC_Os11g10420,Chr11,5653203,5663583,"phosphatidylinositol kinase, putative, expressed"
LOC_Os08g38550,Chr8,24372811,24376318,expressed protein
LOC_Os04g33330,Chr4,20186829,20189403,expressed protein
LOC_Os08g10304,Chr8,6006493,6007074,expressed protein
LOC_Os05g24630,Chr5,14231277,14232545,hypothetical protein
LOC_Os03g36419,Chr3,20183314,20187928,expressed protein
LOC_Os03g16580,Chr3,9138551,9143660,expressed protein
LOC_Os11g25140,Chr11,14315973,14317023,hypothetical protein
LOC_Os05g07070,Chr5,3718278,3725420,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os04g52970,Chr4,31553065,31558406,"NBS-LRR disease resistance protein, putative, expressed"
LOC_Os02g42790,Chr2,25727478,25729411,"short-chain dehydrogenase/reductase, putative, expressed"
LOC_Os01g39990,Chr1,22552874,22554531,expressed protein
LOC_Os04g25930,Chr4,15082804,15083433,OsMADS99 - MADS-box family gene with M-gamma type-box
LOC_Os01g61814,Chr1,35760287,35765066,"40S ribosomal protein S23, putative, expressed"
ChrUn.fgenesh.gene.25,ChrUn,153934,154374,expressed protein
LOC_Os01g72950,Chr1,42312149,42313577,expressed protein
LOC_Os02g13850,Chr2,7501283,7513594,"leucine-rich repeat-containing protein kinase family protein, putative, expressed"
LOC_Os07g48850,Chr7,29227754,29232888,"PPR repeat containing protein, expressed"
LOC_Os03g28330,Chr3,16301277,16307632,"sucrose synthase, putative, expressed"
LOC_Os05g25770,Chr5,14991579,14993800,"WRKY45, expressed"
LOC_Os05g37030,Chr5,21640790,21641632,expressed protein
LOC_Os09g25540,Chr9,15320529,15324122,"receptor-like protein kinase 2 precursor, putative, expressed"
LOC_Os05g09380,Chr5,5266936,5270781,"AR791, putative, expressed"
LOC_Os07g01110,Chr7,58610,60650,"laccase precursor protein, putative, expressed"
LOC_Os01g14850,Chr1,8305547,8306555,"MFS18 protein precursor, putative, expressed"
LOC_Os03g60430,Chr3,34358193,34362334,"AP2 domain containing protein, expressed"
LOC_Os02g26800,Chr2,15729105,15732537,expressed protein
LOC_Os10g23180,Chr10,12090254,12098641,"cytochrome P450, putative, expressed"
LOC_Os06g20480,Chr6,11761260,11762472,expressed protein
LOC_Os04g43270,Chr4,25598959,25606215,"WAX2, putative, expressed"
LOC_Os01g10920,Chr1,5823869,5828251,"peptide-N4-asparagine amidase A, putative, expressed"
LOC_Os02g05310,Chr2,2545984,2551240,"splicing factor 3B subunit 1, putative, expressed"
LOC_Os03g61260,Chr3,34785473,34787514,"ribosomal L18p/L5e family protein, putative, expressed"
LOC_Os03g04110,Chr3,1878906,1881754,"lysM domain-containing GPI-anchored protein precursor, putative, expressed"
LOC_Os11g14710,Chr11,8294810,8297296,expressed protein
LOC_Os08g02010,Chr8,648233,648544,hypothetical protein
LOC_Os01g28500,Chr1,15958735,15959500,"SCP-like extracellular protein, expressed"
LOC_Os10g11310,Chr10,6272649,6276722,expressed protein
LOC_Os02g45700,Chr2,27803398,27805631,"fringe-related protein, putative, expressed"
LOC_Os10g39860,Chr10,21327674,21330652,expressed protein
LOC_Os01g56020,Chr1,32252117,32255022,expressed protein
LOC_Os05g36260,Chr5,21491660,21493705,"soluble inorganic pyrophosphatase, putative, expressed"
LOC_Os01g42710,Chr1,24292537,24299697,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os03g03550,Chr3,1551426,1553821,"bZIP family transcription factor, putative, expressed"
LOC_Os05g06220,Chr5,3128940,3129189,hypothetical protein
LOC_Os03g27410,Chr3,15724504,15725126,expressed protein
LOC_Os07g31850,Chr7,18924436,18931500,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os09g21150,Chr9,12761130,12763149,expressed protein
LOC_Os10g40934,Chr10,21988522,21993690,"flavonol synthase/flavanone 3-hydroxylase, putative, expressed"
LOC_Os11g15540,Chr11,8804990,8807933,hypothetical protein
LOC_Os06g05120,Chr6,2261651,2263976,expressed protein
LOC_Os08g17430,Chr8,10681444,10681926,expressed protein
LOC_Os09g32760,Chr9,19541746,19545586,"acyl-ACP thioesterase, putative, expressed"
LOC_Os06g46600,Chr6,28286534,28293449,"DnaK family protein, putative, expressed"
LOC_Os08g09640,Chr8,5572031,5574384,"OsFBL43 - F-box domain and LRR containing protein, expressed"
LOC_Os08g23140,Chr8,13943831,13950707,expressed protein
LOC_Os08g12260,Chr8,7211340,7214927,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os06g44660,Chr6,26957536,26958611,"fasciclin-like arabinogalactan precursor protein, putative, expressed"
LOC_Os12g34094,Chr12,20617980,20624090,"NADH-ubiquinone oxidoreductase chain 4, putative, expressed"
LOC_Os05g44260,Chr5,25748570,25748962,"DUF584 domain containing protein, putative, expressed"
LOC_Os12g37240,Chr12,22842364,22846061,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os06g41010,Chr6,24491979,24494238,"zinc finger A20 and AN1 domain-containing stress-associated protein, putative, expressed"
LOC_Os01g12890,Chr1,7157780,7164385,expressed protein
LOC_Os04g01690,Chr4,463738,467284,"pyridoxal-dependent decarboxylase protein, putative, expressed"
LOC_Os07g33921,Chr7,20270523,20271525,"60S ribosomal protein L44, putative, expressed"
LOC_Os05g32160,Chr5,18749977,18750288,expressed protein
LOC_Os05g16250,Chr5,9188371,9192391,expressed protein
LOC_Os07g47420,Chr7,28352538,28354768,"60S ribosome subunit biogenesis protein NIP7, putative, expressed"
